gene_id,CN_2w_2,CN_2w_1,CN_4w_1,HT_2w_2,HT_2w_1,HT_4w_1
RABL2L|RABL2L,19,74,79,114,86,88
NME6|NME6,55,279,197,336,242,179
ARSA|ARSA,136,333,415,890,684,477
GOLGB1|GOLGB1,836,1779,4271,4883,5392,3626
HCLS1|HCLS1,303,858,1579,1814,1108,758
LOC112532876|LOC112532876,5,65,55,61,49,95
MIR6708|MIR6708,0,0,0,0,2,0
MIR6708,0,0,0,0,1,0
MIR1604|MIR1604,0,0,0,0,0,0
MIR1604,0,0,0,0,0,0
SHANK3|SHANK3,84,152,219,93,112,150
LOC112532875|LOC112532875,9,73,68,11,25,38
LOC107049475|LOC107049475,151,298,588,479,536,456
CLC2DL5|CLC2DL5,421,1547,2635,3812,2571,1571
LOC112532835|LOC112532835,41,108,233,287,234,158
CLC2DL4|CLC2DL4,490,1703,2520,2201,2057,1349
CARMIL3|CARMIL3,90,457,386,500,448,319
RNF212B|RNF212B,289,1328,1312,2030,1655,1311
LOC107049418|LOC107049418,0,1,5,4,9,5
LOC101749441|LOC101749441,0,0,0,0,0,0
LOC107049791|LOC107049791,0,2,1,0,2,1
LOC112532874|LOC112532874,0,25,10,17,17,1
CLC2DL2|CLC2DL2,154,777,934,1246,737,468
LOC112531646|LOC112531646,81,8,20,4,12,2
LOC112531610|LOC112531610,215,94,181,85,143,40
LOC112532873|LOC112532873,70,366,461,940,559,266
DHRS4|DHRS4,1896,8723,5474,14792,9092,7047
LOC107055491|LOC107055491,22,88,298,112,83,192
LOC107053477|LOC107053477,126,124,167,271,484,199
LOC107049847|LOC107049847,30,64,44,123,213,57
LOC770705|LOC770705,2554,12654,10209,8902,6530,8420
LOC101747821|LOC101747821,143,126,334,223,761,193
CD69L|CD69L,367,534,692,792,1350,851
LOC107055489|LOC107055489,66,164,286,299,356,242
LOC112532969|LOC112532969,11,61,123,79,66,61
LOC112532872|LOC112532872,30,136,456,193,102,228
CLC2DL3|CLC2DL3,15,113,247,245,112,175
LOC112529922|LOC112529922,7,25,6,9,16,11
LOC112532889|LOC112532889,11,89,43,125,46,43
DPF2|DPF2,0,12,20,23,37,20
LOC107050717|LOC107050717,647,2697,2684,3550,3246,2612
LOC107050086|LOC107050086,71,220,268,323,417,155
LOC112532890|LOC112532890,9,38,23,42,26,20
LOC112533143|LOC112533143,100,380,279,381,434,263
LOC112532888|LOC112532888,97,231,315,411,284,329
LOC107050254|LOC107050254,434,860,1441,1138,939,1124
ARF5|ARF5,18,88,64,128,87,57
GCC1|GCC1,129,586,563,782,956,517
MIOX|MIOX,2,0,20,12,9,6
NCAPH2|NCAPH2,39,181,55,146,119,80
LMF2|LMF2,646,3111,2447,4406,3481,2968
SCO2|SCO2,132,951,541,803,739,342
DENND6B|DENND6B,49,215,221,264,286,235
PPP6R2|PPP6R2,711,1437,1611,2364,2294,1981
MIR1651|MIR1651,0,0,1,0,0,0
MIR1651,0,0,1,0,0,0
SBF1|SBF1,800,1848,3723,2581,3210,2740
LOC112532882|LOC112532882,196,437,473,634,501,458
LOC112532883|LOC112532883,6,14,11,22,18,5
LOC112532881|LOC112532881,6,14,11,22,18,5
SMO|SMO,386,1490,1251,2052,1745,1571
UBE2H|UBE2H,1077,3124,3422,4884,3826,3758
AHCYL2|AHCYL2,147,524,635,1046,971,634
STRIP2|STRIP2,52,313,356,607,49,113
LOC107053537|LOC107053537,24,53,49,49,49,41
SMKR1|SMKR1,0,0,0,6,3,4
NRF1|NRF1,156,455,509,794,731,479
IRF5|IRF5,59,127,259,235,206,179
LOC112532892|LOC112532892,0,9,7,22,22,12
TNPO3|TNPO3,264,1293,1185,1865,1761,1203
LOC100859230|LOC100859230,0,0,0,4,0,0
ZC3HC1|ZC3HC1,111,513,278,581,436,316
MIR6676|MIR6676,1,0,0,0,0,0
ERR2984226.104|MIR6676,1,0,0,0,0,0
CPA2|CPA2,0,0,0,0,0,0
CPA5|CPA5,0,0,0,0,0,0
TMEM209|TMEM209,53,144,229,273,221,193
MIR6629|MIR6629,0,0,0,0,2,0
MIR6629,0,0,0,0,1,0
KLHDC10|KLHDC10,265,627,767,1116,912,877
CEP41|CEP41,0,72,58,92,89,47
IL15RA|IL15RA,13,66,133,103,174,92
MEST|MEST,74,279,217,445,316,201
COPG2|COPG2,402,1211,1782,2490,1793,1673
FBXO18|FBXO18,137,443,732,838,709,715
ANKRD16|ANKRD16,118,302,353,542,441,377
ASB13|ASB13,190,607,748,1099,1070,893
TUBAL3|TUBAL3,0,0,0,0,0,0
LOC416695|LOC416695,0,0,0,0,0,0
UCN3|UCN3,0,0,0,0,0,0
NET1|NET1,282,1777,1338,3790,2926,909
LOC101748925|LOC101748925,0,0,0,8,4,0
SLC35B4|SLC35B4,87,231,393,356,308,207
COL7A1L|COL7A1L,0,0,2,0,0,0
MIR205B|MIR205B,0,0,0,0,0,0
MIR205B,0,0,0,0,0,0
FAM208B|FAM208B,194,286,1017,1002,1036,985
LOC107053421|LOC107053421,0,0,0,0,0,3
GDI2|GDI2,2423,7150,8097,11172,8731,6436
CHCHD3|CHCHD3,485,1538,1559,2607,1756,1180
LOC101750196|LOC101750196,0,11,44,17,6,8
LOC107054205|LOC107054205,5,11,26,11,12,0
LOC101748467|LOC101748467,13,26,80,26,24,8
LOC107054320|LOC107054320,0,4,9,0,4,0
LOC107054228|LOC107054228,2,12,33,15,17,6
EXOC4|EXOC4,382,1056,1645,1972,1514,1147
LOC101750035|LOC101750035,8,14,21,8,12,4
LOC107055493|LOC107055493,0,0,3,1,0,0
LOC101747803|LOC101747803,0,3,18,6,10,0
LOC112532918|LOC112532918,3,3,17,6,8,2
LOC107055494|LOC107055494,6,2,16,3,6,0
LOC100858111|LOC100858111,0,10,22,6,6,0
MIR6659|MIR6659,0,0,0,0,0,0
MIR6659,0,0,0,0,0,0
LOC107053233|LOC107053233,11,14,43,19,11,2
LOC101749355|LOC101749355,4,5,23,8,10,3
MIR6621,0,0,1,0,1,0
MIR6621|MIR6621,3,4,7,3,3,6
PODXL|PODXL,161,306,745,717,517,213
PLXNA4|PLXNA4,231,305,646,786,552,766
LOC101750931|LOC101750931,46,64,113,100,132,104
MKLN1|MKLN1,599,1654,2475,3668,2549,2453
LOC107055713|LOC107055713,42,109,271,207,223,97
K123|K123,331,255,1830,1386,559,347
LOC112532968|LOC112532968,4,6,6,0,7,5
LOC107053972|LOC107053972,13,32,27,71,40,34
PRKCQ|PRKCQ,56,90,472,264,172,159
LOC419112|LOC419112,0,6,26,33,26,7
RBM17|RBM17,309,916,991,1708,1252,970
PFKFB3|PFKFB3,362,331,881,678,1548,1049
IL2RA|IL2RA,46,4,237,95,61,33
ITIH5|ITIH5,51,100,411,265,197,102
SFMBT2|SFMBT2,295,803,1007,1589,1105,1125
LOC107054553|LOC107054553,0,0,0,6,0,0
GATA3|GATA3,26,39,103,153,52,56
TAF3|TAF3,300,775,1108,1584,1206,1044
MIR1596|MIR1596,0,0,0,0,0,0
MIR1596,0,0,0,0,0,0
CELF2|CELF2,14,16,151,72,40,34
USP6NL|USP6NL,161,436,603,828,617,617
ECHDC3|ECHDC3,741,2959,2270,4988,2861,2501
PROSER2|PROSER2,338,1272,1421,1591,1364,1640
ITIH2|ITIH2,13815,33897,48643,94657,60054,60981
KIN|KIN,100,262,318,566,381,326
ATP5C1|ATP5C1,2086,7696,6850,13674,8097,6507
UPF2|UPF2,517,1243,2085,2561,2014,1913
DHTKD1|DHTKD1,1125,3048,5088,7148,3575,4342
SEC61A2|SEC61A2,243,1123,1233,1325,1097,849
NUDT5|NUDT5,5553,19082,18931,43537,21972,21295
CDC123|CDC123,466,1365,2005,2976,2244,1605
CCDC3|CCDC3,6,12,51,28,33,5
LOC112532973|LOC112532973,22,87,66,195,114,80
CAMK1D|CAMK1D,1954,8688,11384,14706,14277,8040
MCM10|MCM10,9,35,27,42,58,35
OPTN|OPTN,565,1797,2453,3772,3234,2347
PHYH|PHYH,1449,4449,3817,10735,6490,6467
SEPHS1|SEPHS1,359,879,1103,1801,1192,910
BEND7|BEND7,430,1340,1601,2719,2082,1866
PRPF18|PRPF18,206,584,765,1209,914,674
HSPA14|HSPA14,64,416,333,500,309,297
DCLRE1C|DCLRE1C,22,46,70,120,99,78
MEIG1|MEIG1,0,5,0,0,0,4
SUV39H2|SUV39H2,221,613,667,1124,780,745
FAM107B|FAM107B,157,180,1023,637,337,259
LOC112532975|LOC112532975,0,0,0,0,0,0
FRMD4A|FRMD4A,43,109,278,219,149,160
MIR1460|MIR1460,0,0,0,0,0,0
MIR1460,0,0,0,0,0,0
DMTF1|DMTF1,345,931,1292,1480,1411,1071
TMEM243|TMEM243,56,483,330,203,378,197
SEMA3D|SEMA3D,9,31,29,37,51,38
KIAA1324L|KIAA1324L,1659,4301,7914,14085,8584,4559
SEMA3E|SEMA3E,0,0,12,0,20,8
SEMA3A|SEMA3A,12,0,11,0,5,6
PCLO|PCLO,0,5,11,9,0,0
LOC107055432|LOC107055432,0,0,0,0,0,0
LOC107055502|LOC107055502,3,0,0,0,0,0
LOC112532986|LOC112532986,0,0,0,9,0,6
LOC107057089|LOC107057089,0,0,14,15,10,10
HGF|HGF,26,70,219,157,104,84
SEMA3C|SEMA3C,20,56,92,117,94,53
CACNA2D1|CACNA2D1,52,62,162,265,109,119
LOC112532984|LOC112532984,0,3,0,0,0,0
GNAT3|GNAT3,0,0,0,0,0,3
GNAI1|GNAI1,79,115,295,480,175,126
CD36|CD36,3538,10399,13753,24931,16652,14243
TMEM60|TMEM60,89,311,339,597,486,353
PHTF2|PHTF2,76,169,477,350,219,186
RSBN1L|RSBN1L,208,600,964,1129,987,940
LOC112532992|LOC112532992,0,0,20,5,5,9
LOC107051625|LOC107051625,137,4,210,760,6,130
PTPN12|PTPN12,524,1191,1930,2546,1971,1657
MAGI2|MAGI2,29,42,87,146,71,70
ARMC10|ARMC10,15,25,53,111,87,49
FBXL13|FBXL13,0,0,0,0,0,0
LRRC17|LRRC17,6,18,15,36,26,27
NAPEPLD|NAPEPLD,199,520,1096,1741,758,692
GSAP|GSAP,324,837,1083,2135,1209,1162
CCDC146|CCDC146,6,32,33,36,20,24
LOC107051626|LOC107051626,4,15,4,18,44,28
FGL2|FGL2,209,120,1143,822,421,281
FAM185A|FAM185A,52,192,249,327,295,219
DNAJC2|DNAJC2,365,1523,1520,1849,1774,1301
PMPCB|PMPCB,440,1478,1698,2675,1735,1505
PSMC2|PSMC2,1152,4770,4264,6405,5305,4244
ORC5|ORC5,45,262,341,324,310,165
TRNAG-CCC,0,0,0,0,0,0
RELN|RELN,209,416,1082,918,604,529
SLC26A5|SLC26A5,1441,1899,4810,5356,4795,5739
LOC112533002|LOC112533002,5,0,16,13,10,11
LOC101752215|LOC101752215,93,189,243,490,346,339
KMT2E|KMT2E,895,1754,2907,2986,3273,2828
LOC107051628|LOC107051628,24,131,123,163,80,69
SRPK2|SRPK2,180,405,776,885,782,730
LOC107051629|LOC107051629,0,0,0,0,0,8
LOC107051627|LOC107051627,13,16,36,46,48,48
EFCAB10|EFCAB10,0,5,0,18,4,8
RINT1|RINT1,127,475,636,827,897,629
PUS7|PUS7,312,794,1114,1472,1413,938
CCDC71L|CCDC71L,118,498,385,527,603,361
LOC112533020|LOC112533020,0,0,6,0,0,0
ATXN7L1|ATXN7L1,369,962,1495,1913,1542,1306
CDHR3|CDHR3,7,42,61,100,97,67
LOC107051630|LOC107051630,0,0,9,17,11,11
SYPL1|SYPL1,325,1145,1283,1466,1289,898
NAMPT|NAMPT,1209,3878,5291,5824,5279,4135
PIK3CG|PIK3CG,558,1481,2819,4264,2290,2279
PRKAR2B|PRKAR2B,44,237,201,233,163,215
DUS4L|DUS4L,92,353,394,858,510,368
LOC112533028|LOC112533028,0,4,0,9,6,0
HBP1|HBP1,486,821,1823,2314,1680,1508
COG5|COG5,253,739,948,1200,1253,729
GPR22|GPR22,8,0,0,0,0,0
SLC26A3|SLC26A3,6,5,13,19,10,11
CBLL1|CBLL1,113,440,544,690,826,550
MIR2126|MIR2126,0,0,1,0,0,0
MIR2126,0,0,1,0,0,0
BCAP29|BCAP29,721,2882,2808,5999,3757,2651
DLD|DLD,1969,6051,7550,11917,7167,6520
LRRK2|LRRK2,110,254,532,434,340,309
LOC112533030|LOC112533030,0,8,4,9,6,13
LAMB4|LAMB4,12,38,16,13,37,29
LAMB1|LAMB1,201,507,843,1211,1026,550
ERGIC2|ERGIC2,942,3564,3780,5777,4625,2968
SLC2A13|SLC2A13,568,2223,2023,3212,2761,2165
C12orf40|C12orf40,22,29,88,89,58,58
LOC107051632|LOC107051632,0,0,0,4,0,2
ABCD2|ABCD2,414,997,1886,2707,1740,2189
LOC107051634|LOC107051634,97,370,467,1339,631,489
GTSE1|GTSE1,14,28,71,57,23,38
KIF21A|KIF21A,833,2270,3692,6162,4637,4342
LOC107051635|LOC107051635,5,11,29,14,14,0
ALG10|ALG10,125,326,400,691,520,365
TPRKB|TPRKB,74,560,572,777,609,442
CPNE8|CPNE8,284,567,1040,1314,920,1041
TRMU|TRMU,168,570,523,849,684,423
HIST1H2B5L|HIST1H2B5L,33,179,169,296,138,116
LOC107051636|LOC107051636,14,100,176,504,151,65
GRAMD4|GRAMD4,108,304,497,571,317,277
CELSR1|CELSR1,294,595,854,1213,952,968
CERK|CERK,374,1161,1414,2645,1916,1357
TBC1D22A|TBC1D22A,287,696,1240,1845,1208,959
LOC107049439|LOC107049439,0,0,0,0,0,0
BRD1|BRD1,267,558,1232,1887,1140,957
ZBED4|ZBED4,282,643,1167,1559,879,795
LOC112533147|LOC112533147,51,166,197,590,382,122
LOC107050376|LOC107050376,0,0,0,0,0,0
PIM3|PIM3,688,1432,1725,6039,5073,1832
LOC101748415|LOC101748415,0,0,0,0,0,0
LOC107050120|LOC107050120,0,0,0,0,0,0
MOV10L1|MOV10L1,0,26,50,125,61,9
LOC107049700|LOC107049700,0,0,14,21,14,23
LOC112533153|LOC112533153,0,0,0,0,0,0
PANX2|PANX2,21,76,89,184,129,81
LOC429348|LOC429348,80,118,61,674,990,850
ALG12|ALG12,1728,6792,8278,17160,10048,4920
CRELD2|CRELD2,1661,11467,10309,17435,10075,4605
TRABD|TRABD,772,2313,2618,4685,4362,3384
LOC112533154|LOC112533154,0,0,0,5,0,0
SELENOO|SELENOO,556,1724,2337,4299,2401,2703
MAPK12|MAPK12,32,77,108,205,137,104
MAPK11|MAPK11,83,236,327,309,294,224
TUBGCP6|TUBGCP6,106,218,454,527,361,370
HDAC10|HDAC10,221,588,666,1215,902,757
ARL8BL|ARL8BL,11,26,20,56,22,19
ZNF800|ZNF800,89,265,301,536,347,217
LOC107052593|LOC107052593,30,13,37,191,61,67
POT1|POT1,82,196,237,473,217,160
ASB15|ASB15,0,0,0,0,0,0
WASL|WASL,347,946,1248,2329,1523,1304
LOC107051595|LOC107051595,0,0,8,0,0,0
MIR1693|MIR1693,0,0,0,0,0,0
MIR1693,0,0,0,0,0,0
PLXNB2|PLXNB2,2046,4517,8837,10387,8554,7133
IQUB|IQUB,34,70,78,147,120,170
NDUFA5|NDUFA5,513,2366,1498,2412,1628,999
SLC13A1|SLC13A1,6,0,21,27,9,0
ATP6AP1|ATP6AP1,483,1140,2799,3116,1892,1248
LOC107052612|LOC107052612,6,2,33,18,23,27
CADPS2|CADPS2,17,42,76,145,134,77
WNT16|WNT16,0,0,3,6,12,4
FAM3C|FAM3C,179,566,775,1293,747,729
PTPRZ1|PTPRZ1,0,0,13,20,11,8
AASS|AASS,1121,3866,6228,12317,3741,3367
CPED1|CPED1,85,116,200,405,116,94
MIR1645,0,0,0,0,0,0
MIR1645|MIR1645,0,0,0,0,0,0
ING3|ING3,162,359,597,952,590,482
LSM8|LSM8,68,274,188,452,274,180
LOC112533181|LOC112533181,0,0,0,5,0,0
ANKRD26|ANKRD26,72,199,419,385,263,248
CTTNBP2|CTTNBP2,15,16,71,69,55,37
CFTR|CFTR,0,12,31,40,33,16
TSPAN12|TSPAN12,1715,4731,5724,13828,8005,6612
KCND2|KCND2,0,6,0,23,10,0
LOC101747342|LOC101747342,0,0,0,5,0,0
ST7|ST7,146,707,622,913,859,529
CAPZA2|CAPZA2,886,2193,3563,6071,3167,2365
CAV1|CAV1,9,14,35,52,48,19
CAV2|CAV2,20,46,77,74,91,49
TES|TES,43,68,170,246,168,91
LOC112533188|LOC112533188,4,3,5,9,0,5
TFEC|TFEC,11,9,47,14,0,14
MDFIC|MDFIC,92,277,428,425,310,212
MET|MET,872,1609,2498,3359,2242,2645
LOC112533184|LOC112533184,12,7,51,43,27,21
GPR85|GPR85,0,0,0,0,0,0
LOC107052654|LOC107052654,2,0,0,0,0,0
LOC107052650|LOC107052650,218,484,968,1150,740,392
BMT2|BMT2,52,96,329,280,212,249
TMEM168|TMEM168,357,715,1157,1686,1232,1042
FOXP2|FOXP2,325,741,1249,2038,1457,1571
LOC112533189|LOC112533189,0,5,0,7,0,0
ZNF277|ZNF277,56,211,243,383,266,198
IFRD1|IFRD1,698,4044,4126,8444,7936,2934
DOCK4|DOCK4,69,120,354,269,125,125
DNAJB9|DNAJB9,433,1944,2756,4133,3432,1271
THAP5|THAP5,106,420,805,1186,897,518
PNPLA8|PNPLA8,248,455,790,1659,970,899
IMMP2L|IMMP2L,123,451,431,1020,482,362
LRRN3|LRRN3,0,0,8,0,0,0
CNTN1|CNTN1,0,0,21,20,19,4
GXYLT1|GXYLT1,94,253,471,615,365,296
YAF2|YAF2,113,323,444,603,496,415
PDZRN4|PDZRN4,9,0,10,9,8,0
ZCRB1|ZCRB1,136,498,602,1087,690,465
PPHLN1|PPHLN1,133,331,443,655,465,380
MIR7447,0,0,0,0,0,0
MIR7447|MIR7447,0,1,0,0,0,0
PRICKLE1|PRICKLE1,39,66,154,185,103,77
PUS7L|PUS7L,118,275,316,663,344,198
IRAK4|IRAK4,181,640,807,1443,765,459
TWF1|TWF1,297,1188,1061,1587,1205,853
ANO6|ANO6,3,10,36,33,28,9
LOC112533246|LOC112533246,23,50,107,181,60,202
NELL2|NELL2,342,816,1110,1943,1151,978
LOC101749362|LOC101749362,90,314,300,790,433,567
ARID2|ARID2,242,557,828,1119,995,828
LOC107052702|LOC107052702,0,0,0,0,0,0
SLC38A1|SLC38A1,213,321,801,501,304,432
LOC107052706|LOC107052706,0,0,8,5,0,0
SCAF11|SCAF11,858,2754,3347,3994,4012,2767
LOC112531641|LOC112531641,2,0,0,0,0,0
LOC101749506|LOC101749506,0,9,10,0,10,10
SLC38A2|SLC38A2,2229,8528,12103,13666,12468,8828
AMIGO2|AMIGO2,33,20,87,173,51,55
LOC112533249|LOC112533249,11,12,41,283,99,79
LOC112531642|LOC112531642,1,0,0,2,0,2
LRIG3|LRIG3,0,6,19,45,27,0
SLC16A7|SLC16A7,67,116,375,678,133,151
ATP23|ATP23,397,1387,1333,2469,1714,1347
RPAP3|RPAP3,209,600,703,1406,850,602
LOC112533248|LOC112533248,0,2,5,0,15,6
SLC38A4|SLC38A4,6078,17438,22508,45004,25532,22394
LOC101749586|LOC101749586,531,2427,965,3000,3375,1302
FAM19A2|FAM19A2,6,10,16,23,10,10
USP15|USP15,523,1290,2497,3245,2159,1904
LOC107052719|LOC107052719,7094,21349,22901,13856,11924,17540
LOC107052718|LOC107052718,4107,16245,16273,15566,12350,14792
TMEM5|TMEM5,61,200,227,489,267,299
MON2|MON2,995,2024,4419,4897,3520,3265
PPM1H|PPM1H,119,303,623,744,507,583
SRGAP1|SRGAP1,68,127,338,417,237,292
C1H12ORF66|C1H12ORF66,892,3728,3134,5807,4069,2741
RPL18A|RPL18A,1517,11015,4542,13485,6302,4045
LOC112531625|LOC112531625,1,1,1,1,1,1
XPOT|XPOT,766,2495,3319,4519,2923,2393
TBK1|TBK1,102,771,948,1891,998,1241
RASSF3|RASSF3,1650,6982,9125,18872,15052,6725
TBC1D30|TBC1D30,223,694,768,1054,922,677
LEMD3|LEMD3,166,532,587,762,660,474
GNS|GNS,3118,7321,13119,19734,12424,9611
HMGA2|HMGA2,0,12,0,11,3,5
MSRB3|MSRB3,364,1244,1248,3519,1515,1562
LLPH|LLPH,211,1167,654,1192,1000,498
TMBIM4|TMBIM4,174,540,818,1240,800,626
HELB|HELB,421,1226,1575,2483,1973,1080
IFNG|IFNG,4,6,12,29,8,8
GRIP1|GRIP1,0,5,23,21,6,0
CAND1|CAND1,676,1801,3049,3244,2335,2337
LOC112531553|LOC112531553,0,0,0,0,0,0
DYRK2|DYRK2,90,283,434,761,495,554
MDM1|MDM1,136,378,485,853,493,386
LOC101752108|LOC101752108,17,39,61,93,63,46
SLC35E3|SLC35E3,439,2122,2365,2744,2390,1490
RAP1B|RAP1B,603,1923,2486,4097,2298,1877
NUP107|NUP107,355,981,1452,1663,1231,1081
CPM|CPM,13,12,45,97,33,18
MDM2|MDM2,647,2226,2947,3258,2836,2232
FRS2|FRS2,149,367,738,862,620,520
CPSF6|CPSF6,440,1199,1694,2374,1981,1613
LOC107052751|LOC107052751,81,290,264,589,411,229
LYZ|LYZ,114,382,520,930,1130,447
YEATS4|YEATS4,149,617,514,966,722,532
LRRC10|LRRC10,4,13,7,51,30,31
CCT2|CCT2,1415,5584,5770,7145,5118,3821
MYRFL|MYRFL,7,8,7,0,0,0
RAB3IP|RAB3IP,309,1069,1295,2737,1577,1294
KCNMB4|KCNMB4,0,0,12,7,0,0
CNOT2|CNOT2,276,845,1289,1873,1089,876
LOC101747919|LOC101747919,12,29,48,329,79,45
TSPAN8|TSPAN8,32,73,186,289,117,68
LGR5|LGR5,25,125,147,485,176,84
PTPRB|PTPRB,459,576,1999,1184,649,708
PTPRR|PTPRR,5,12,8,0,0,0
LOC112533274|LOC112533274,0,0,0,0,0,0
ZFC3H1|ZFC3H1,972,1616,4241,4344,3368,3178
TMEM19|TMEM19,505,1581,1869,2856,2270,1536
RAB21|RAB21,639,1892,2663,4863,2888,2725
TBC1D15|TBC1D15,485,811,1884,2609,1781,1697
TPH2|TPH2,4,0,0,0,0,4
CTSEAL|CTSEAL,33326,120379,129352,269909,191690,138409
LOC101748307|LOC101748307,0,0,0,16,0,0
KCNC2|KCNC2,0,13,7,17,5,19
TRHDE|TRHDE,765,1938,3321,5125,3700,4199
CAPS2|CAPS2,10,30,64,99,57,31
CCDC107|CCDC107,152,388,675,1127,749,396
GLIPR1L|GLIPR1L,105,97,529,472,321,164
LOC112533299|LOC112533299,0,0,0,0,0,0
PHLDA1|PHLDA1,45,164,276,317,239,140
KRR1|KRR1,173,446,609,1148,751,545
NAP1L1|NAP1L1,805,2241,2907,5164,3300,3223
ZDHHC17|ZDHHC17,120,300,513,556,479,377
CSRP2|CSRP2,114,254,542,760,361,119
E2F7|E2F7,11,9,25,17,21,9
BBS10|BBS10,24,92,109,208,176,107
OSBPL8|OSBPL8,494,1732,2257,2694,1744,1607
LOC101749434|LOC101749434,9,0,0,11,8,4
PAWR|PAWR,407,1048,1501,3349,2169,1926
SYT1|SYT1,4,15,18,18,22,9
LOC112533322|LOC112533322,0,0,0,0,0,0
LOC107052828|LOC107052828,0,0,0,0,0,0
NAV3|NAV3,46,68,214,145,55,60
PPP1R12A|PPP1R12A,338,793,1422,1794,1235,1227
LIN7A|LIN7A,9,17,13,51,29,19
LOC101749704|LOC101749704,11,25,16,21,19,27
RPS16|RPS16,2777,12406,8582,20466,11019,8391
ACSS3|ACSS3,577,1918,2068,4403,2077,2187
LOC107052846|LOC107052846,5,0,0,0,0,0
LOC112533325|LOC112533325,0,4,10,11,6,7
LOC112533327|LOC112533327,0,0,0,0,0,0
METTL25|METTL25,41,135,171,212,185,128
LOC112533324|LOC112533324,0,0,9,6,0,5
CCDC59|CCDC59,69,402,364,619,440,262
SLC6A15|SLC6A15,0,0,12,26,5,0
ALX1|ALX1,0,0,0,0,0,0
PPFIA2|PPFIA2,27,40,19,63,47,72
