"genes","CN_2w_2","CN_2w_1","CN_4w_1","HT_3hr_1","HT_3hr_2","HT_3hr_4"
"NME6|NME6",55,279,197,51,23,19
"GOLGB1|GOLGB1",836,1779,4271,0,0,0
"HCLS1|HCLS1",303,858,1579,765,358,335
"LOC112532876|LOC112532876",5,65,55,3309,1957,1477
"MIR6708|MIR6708",0,0,0,217,106,75
"MIR6708",0,0,0,2627,862,653
"MIR1604|MIR1604",0,0,0,405,145,214
"MIR1604",0,0,0,1544,601,686
"SHANK3|SHANK3",84,152,219,2,5,9
"LOC112532875|LOC112532875",9,73,68,0,0,0
"LOC107049475|LOC107049475",151,298,588,0,1,2
"CLC2DL5|CLC2DL5",421,1547,2635,0,0,0
"LOC112532835|LOC112532835",41,108,233,862,489,356
"CLC2DL4|CLC2DL4",490,1703,2520,6,4,2
"CARMIL3|CARMIL3",90,457,386,97,42,23
"RNF212B|RNF212B",289,1328,1312,498,316,153
"LOC101749441|LOC101749441",0,0,0,38,12,22
"LOC107049791|LOC107049791",0,2,1,655,224,132
"CLC2DL2|CLC2DL2",154,777,934,12220,2638,2447
"LOC112531610|LOC112531610",215,94,181,721,348,739
"LOC112532873|LOC112532873",70,366,461,956,340,115
"DHRS4|DHRS4",1896,8723,5474,36,27,31
"LOC107053477|LOC107053477",126,124,167,87,60,41
"LOC107049847|LOC107049847",30,64,44,32,24,17
"LOC770705|LOC770705",2554,12654,10209,9,0,12
"LOC101747821|LOC101747821",143,126,334,4974,1576,2238
"CD69L|CD69L",367,534,692,1672,869,649
"LOC107055489|LOC107055489",66,164,286,0,0,0
"LOC112532969|LOC112532969",11,61,123,798,321,322
"CLC2DL3|CLC2DL3",15,113,247,0,0,0
"LOC112532889|LOC112532889",11,89,43,0,0,0
"LOC107050717|LOC107050717",647,2697,2684,223,85,136
"LOC107050086|LOC107050086",71,220,268,49,40,50
"LOC112532890|LOC112532890",9,38,23,13,0,20
"LOC112533143|LOC112533143",100,380,279,327,97,100
"LOC112532888|LOC112532888",97,231,315,53,11,18
"LOC107050254|LOC107050254",434,860,1441,3900,1095,1221
"ARF5|ARF5",18,88,64,0,0,0
"GCC1|GCC1",129,586,563,15,15,0
"NCAPH2|NCAPH2",39,181,55,400,191,180
"LMF2|LMF2",646,3111,2447,13,11,0
"SCO2|SCO2",132,951,541,102,41,34
"DENND6B|DENND6B",49,215,221,18,15,0
"PPP6R2|PPP6R2",711,1437,1611,5160,1673,1234
"SBF1|SBF1",800,1848,3723,0,0,0
"LOC112532882|LOC112532882",196,437,473,0,0,0
"LOC112532883|LOC112532883",6,14,11,272,108,145
"LOC112532881|LOC112532881",6,14,11,3235,1140,831
"SMO|SMO",386,1490,1251,0,0,0
"UBE2H|UBE2H",1077,3124,3422,0,0,0
"AHCYL2|AHCYL2",147,524,635,4470,1308,1440
"STRIP2|STRIP2",52,313,356,2525,784,485
"LOC107053537|LOC107053537",24,53,49,93,31,45
"SMKR1|SMKR1",0,0,0,751,241,223
"NRF1|NRF1",156,455,509,681,196,169
"IRF5|IRF5",59,127,259,25,6,5
"TNPO3|TNPO3",264,1293,1185,2511,1001,796
"LOC100859230|LOC100859230",0,0,0,1005,380,430
"ZC3HC1|ZC3HC1",111,513,278,254,122,53
"CPA2|CPA2",0,0,0,310,79,77
"CPA5|CPA5",0,0,0,41,9,25
"MIR6629|MIR6629",0,0,0,753,206,570
"MIR6629",0,0,0,5109,2276,2978
"KLHDC10|KLHDC10",265,627,767,53,22,31
"CEP41|CEP41",0,72,58,278,107,176
"IL15RA|IL15RA",13,66,133,2,2,2
"MEST|MEST",74,279,217,1,1,1
"COPG2|COPG2",402,1211,1782,1214,388,507
"FBXO18|FBXO18",137,443,732,0,0,0
"ANKRD16|ANKRD16",118,302,353,0,0,0
"ASB13|ASB13",190,607,748,304,199,255
"TUBAL3|TUBAL3",0,0,0,360,177,206
"LOC416695|LOC416695",0,0,0,2432,1028,1012
"UCN3|UCN3",0,0,0,83,41,56
"NET1|NET1",282,1777,1338,1262,514,751
"LOC101748925|LOC101748925",0,0,0,342,156,193
"SLC35B4|SLC35B4",87,231,393,941,433,454
"MIR205B|MIR205B",0,0,0,1208,482,710
"FAM208B|FAM208B",194,286,1017,12001,4139,3443
"LOC107053421|LOC107053421",0,0,0,493,217,196
"CHCHD3|CHCHD3",485,1538,1559,1663,958,491
"LOC101748467|LOC101748467",13,26,80,2744,955,926
"EXOC4|EXOC4",382,1056,1645,2,2,0
"MIR6659",0,0,0,2137,997,1080
"LOC107053233|LOC107053233",11,14,43,6,5,0
"PODXL|PODXL",161,306,745,7,0,4
"PLXNA4|PLXNA4",231,305,646,8,4,0
"LOC101750931|LOC101750931",46,64,113,0,0,0
"MKLN1|MKLN1",599,1654,2475,0,0,0
"LOC107055713|LOC107055713",42,109,271,732,313,331
"LOC107053972|LOC107053972",13,32,27,9,4,6
"RBM17|RBM17",309,916,991,0,0,0
"PFKFB3|PFKFB3",362,331,881,3363,1411,1761
"LOC107054553|LOC107054553",0,0,0,51,34,23
"GATA3|GATA3",26,39,103,144,142,102
"TAF3|TAF3",300,775,1108,26,30,6
"MIR1596|MIR1596",0,0,0,1375,589,691
"MIR1596",0,0,0,840,788,139
"USP6NL|USP6NL",161,436,603,1497,433,642
"ECHDC3|ECHDC3",741,2959,2270,279,194,198
"PROSER2|PROSER2",338,1272,1421,0,0,0
"ITIH2|ITIH2",13815,33897,48643,64,43,32
"KIN|KIN",100,262,318,1792,707,650
"ATP5C1|ATP5C1",2086,7696,6850,0,0,0
"UPF2|UPF2",517,1243,2085,0,0,0
"DHTKD1|DHTKD1",1125,3048,5088,0,0,0
"SEC61A2|SEC61A2",243,1123,1233,0,0,0
"NUDT5|NUDT5",5553,19082,18931,81,45,47
"CDC123|CDC123",466,1365,2005,873,376,361
"LOC112532973|LOC112532973",22,87,66,1930,711,809
"CAMK1D|CAMK1D",1954,8688,11384,2462,1126,1206
"MCM10|MCM10",9,35,27,9821,4476,4831
"OPTN|OPTN",565,1797,2453,89734,35221,53081
"PHYH|PHYH",1449,4449,3817,551,236,266
"SEPHS1|SEPHS1",359,879,1103,8596,2639,3002
"BEND7|BEND7",430,1340,1601,24604,13282,16383
"PRPF18|PRPF18",206,584,765,1188,434,404
"HSPA14|HSPA14",64,416,333,2354,1218,1126
"DCLRE1C|DCLRE1C",22,46,70,30,15,20
"SUV39H2|SUV39H2",221,613,667,190,90,114
"LOC112532975|LOC112532975",0,0,0,3444,1561,1503
"FRMD4A|FRMD4A",43,109,278,9621,3771,4633
"MIR1460|MIR1460",0,0,0,1736,704,613
"MIR1460",0,0,0,3011,1199,1403
"DMTF1|DMTF1",345,931,1292,985,576,619
"TMEM243|TMEM243",56,483,330,403,165,180
"SEMA3D|SEMA3D",9,31,29,750,460,325
"KIAA1324L|KIAA1324L",1659,4301,7914,0,0,0
"LOC107055432|LOC107055432",0,0,0,1015,446,552
"LOC112532986|LOC112532986",0,0,0,1417,621,683
"HGF|HGF",26,70,219,0,0,0
"SEMA3C|SEMA3C",20,56,92,67,20,16
"CACNA2D1|CACNA2D1",52,62,162,0,0,0
"GNAI1|GNAI1",79,115,295,0,0,0
"CD36|CD36",3538,10399,13753,0,0,0
"TMEM60|TMEM60",89,311,339,0,0,0
"PHTF2|PHTF2",76,169,477,15,0,8
"RSBN1L|RSBN1L",208,600,964,220,90,107
"LOC107051625|LOC107051625",137,4,210,65,72,39
"PTPN12|PTPN12",524,1191,1930,210,136,134
"MAGI2|MAGI2",29,42,87,0,0,0
"ARMC10|ARMC10",15,25,53,336,287,114
"FBXL13|FBXL13",0,0,0,390,262,175
"LRRC17|LRRC17",6,18,15,24548,11958,11185
"NAPEPLD|NAPEPLD",199,520,1096,356,216,315
"GSAP|GSAP",324,837,1083,140,60,69
"CCDC146|CCDC146",6,32,33,1276,481,570
"LOC107051626|LOC107051626",4,15,4,2222,807,980
"DNAJC2|DNAJC2",365,1523,1520,21,20,4
"PMPCB|PMPCB",440,1478,1698,1163,612,740
"PSMC2|PSMC2",1152,4770,4264,1762,691,868
"ORC5|ORC5",45,262,341,14,37,14
"RELN|RELN",209,416,1082,7,10,11
"SLC26A5|SLC26A5",1441,1899,4810,929,758,623
"LOC101752215|LOC101752215",93,189,243,1513,746,788
"KMT2E|KMT2E",895,1754,2907,2010,908,1011
"LOC107051628|LOC107051628",24,131,123,5694,2571,2534
"SRPK2|SRPK2",180,405,776,299,118,134
"LOC107051627|LOC107051627",13,16,36,18,13,3
"RINT1|RINT1",127,475,636,9860,5605,5140
"PUS7|PUS7",312,794,1114,14,6,14
"CCDC71L|CCDC71L",118,498,385,379,131,119
"ATXN7L1|ATXN7L1",369,962,1495,74,40,52
"CDHR3|CDHR3",7,42,61,912,403,452
"SYPL1|SYPL1",325,1145,1283,66,19,41
"NAMPT|NAMPT",1209,3878,5291,1293,435,423
"PIK3CG|PIK3CG",558,1481,2819,11,9,7
"PRKAR2B|PRKAR2B",44,237,201,833,275,296
