"genes","logFC","logCPM","PValue","FDR"
"VTG2",-24.2458972866763,15.1393517060751,6.88433203224251e-230,1.0060074398716e-225
"LOC107052037",18.6067611086047,13.7003981147223,3.06859857433363e-204,2.24207154833686e-200
"LOC107054028",21.5171756197076,12.4106709003694,1.23354807462269e-196,6.00861267148713e-193
"ALB",-13.0416813114361,15.4629318344365,3.30812316231882e-195,1.20854009427412e-191
"LOC107054080",14.6130684635987,13.3107278586461,2.4838402831335e-192,7.25927161148596e-189
"SULT",-20.257611424606,11.151042462104,4.19831059541664e-190,1.02249854551372e-186
"FGA",-20.7496508857522,11.6430941777775,4.04226756394596e-182,8.43852227313462e-179
"VWA2",20.0818909011795,10.9754510416051,6.67526708865604e-182,1.21932097458163e-178
"MIR6662",20.455809522231,11.349345001907,4.48888995192392e-178,7.28846098527381e-175
"P4HB",-19.0382604664054,9.93167571389459,3.26062080162944e-172,4.7647451774211e-169
"APOB",-16.9647600894846,13.5049849728949,6.36359878042359e-172,8.45375172530273e-169
"MIR1798",19.0048045832896,9.89848078766926,4.1733625869206e-171,5.08211229022256e-168
"TRNAY-GUA_8",19.2709963065058,10.1646376670457,6.87082468294535e-169,7.72333546860619e-166
"FADS2",-19.4550681399092,10.3484717623867,1.0987713917913e-166,1.14688188201759e-163
"TRNAG-GCC_6",19.8559292984872,10.7495113034051,2.65025688451743e-166,2.58188025689688e-163
"RBP4A",-19.2762431921632,10.1696728741911,2.07797048981216e-165,1.89783642297656e-162
"ACP6",11.5745870874982,15.0111803803207,9.25136572091087e-162,7.95236513409827e-159
"RBP",-19.6510790857956,10.5445134536287,2.5194783937639e-160,2.04539654267066e-157
"MTTPL",-17.8954447380826,8.78878145404365,1.22714787376868e-159,9.43805888388512e-157
"LOC107057078",-18.2371229226934,9.13048866018836,2.5704866446247e-157,1.87812606689504e-154
"PSAP",-18.1515079300165,9.04487124689942,1.37108966236933e-156,9.54082535057286e-154
"SSTR3",13.4859874711545,10.1504388992836,2.6483752997804e-156,1.75912310253141e-153
"GART",-17.397047900563,8.29033383468111,3.47004035853903e-156,2.20468259823177e-153
"PRPS2",-18.4351726607303,9.32852145852519,3.62170877374476e-156,2.20516792961384e-153
"A2ML4",-13.9623422172463,9.19770704383016,1.78567657180406e-155,1.04376366975091e-152
"MIR1572",18.5458888834771,9.43965066502895,1.34596017759579e-154,7.5648138750797e-152
"MIR6591",17.8567875592476,8.75073407001377,4.31968284940336e-154,2.33790835104931e-151
"ITIH3",-18.3812005677431,9.27458320541258,1.86549751051229e-153,9.73589825754148e-151
"SPIK5",-17.4721828151245,12.1400891582373,2.28643832159206e-153,1.15212838598016e-150
"VTG1",-11.2780557796475,14.1878651245176,5.67600601126001e-153,2.76478252808475e-150
"ACO1",-14.7042763684213,8.153690883696,1.20299893751028e-152,5.67078176575409e-150
"LOC112531415",14.900694585695,11.3413994291245,3.02772408366414e-152,1.38262912608075e-149
