gene_id,CN_2w_2,CN_2w_1,CN_3hr_3,CN_4w_1,HT_3hr_1,HT_3hr_2,HT_3hr_3,HT_3hr_4
RABL2L|RABL2L,19,74,76,79,0,0,24,8
NME6|NME6,55,279,145,197,51,23,41,19
ARSA|ARSA,136,333,270,415,2,0,0,0
GOLGB1|GOLGB1,836,1779,1500,4271,0,0,0,0
HCLS1|HCLS1,303,858,778,1579,765,358,238,335
LOC112532876|LOC112532876,5,65,39,55,3309,1957,2180,1477
MIR6708|MIR6708,0,0,0,0,217,106,169,75
MIR6708,0,0,0,0,2627,862,511,653
MIR1604|MIR1604,0,0,0,0,405,145,217,214
MIR1604,0,0,0,0,1544,601,957,686
SHANK3|SHANK3,84,152,104,219,2,5,7,9
LOC112532875|LOC112532875,9,73,52,68,0,0,0,0
LOC107049475|LOC107049475,151,298,189,588,0,1,0,2
CLC2DL5|CLC2DL5,421,1547,1402,2635,0,0,0,0
LOC112532835|LOC112532835,41,108,104,233,862,489,503,356
CLC2DL4|CLC2DL4,490,1703,987,2520,6,4,6,2
CARMIL3|CARMIL3,90,457,373,386,97,42,39,23
RNF212B|RNF212B,289,1328,683,1312,498,316,393,153
LOC107049418|LOC107049418,0,1,3,5,8858,3603,4300,3485
LOC101749441|LOC101749441,0,0,0,0,38,12,54,22
LOC107049791|LOC107049791,0,2,1,1,655,224,189,132
LOC112532874|LOC112532874,0,25,7,10,195,101,59,80
CLC2DL2|CLC2DL2,154,777,540,934,12220,2638,3386,2447
LOC112531646|LOC112531646,81,8,3,20,379,130,176,72
LOC112531610|LOC112531610,215,94,48,181,721,348,657,739
LOC112532873|LOC112532873,70,366,256,461,956,340,194,115
DHRS4|DHRS4,1896,8723,5627,5474,36,27,43,31
LOC107055491|LOC107055491,22,88,56,298,183,71,96,91
LOC107053477|LOC107053477,126,124,77,167,87,60,79,41
LOC107049847|LOC107049847,30,64,12,44,32,24,29,17
LOC770705|LOC770705,2554,12654,5410,10209,9,0,11,12
LOC101747821|LOC101747821,143,126,96,334,4974,1576,2046,2238
CD69L|CD69L,367,534,239,692,1672,869,773,649
LOC107055489|LOC107055489,66,164,146,286,0,0,0,0
LOC112532969|LOC112532969,11,61,70,123,798,321,488,322
LOC112532872|LOC112532872,30,136,84,456,0,0,0,0
CLC2DL3|CLC2DL3,15,113,141,247,0,0,0,0
LOC112529922|LOC112529922,7,25,15,6,0,0,0,0
LOC112532889|LOC112532889,11,89,73,43,0,0,0,0
DPF2|DPF2,0,12,3,20,0,0,0,0
LOC107050717|LOC107050717,647,2697,1171,2684,223,85,137,136
LOC107050086|LOC107050086,71,220,189,268,49,40,39,50
LOC112532890|LOC112532890,9,38,33,23,13,0,5,20
LOC112533143|LOC112533143,100,380,199,279,327,97,113,100
LOC112532888|LOC112532888,97,231,137,315,53,11,18,18
LOC107050254|LOC107050254,434,860,471,1441,3900,1095,908,1221
ARF5|ARF5,18,88,66,64,0,0,0,0
GCC1|GCC1,129,586,292,563,15,15,3,0
MIOX|MIOX,2,0,0,20,341,137,172,121
NCAPH2|NCAPH2,39,181,103,55,400,191,168,180
LMF2|LMF2,646,3111,1463,2447,13,11,5,0
SCO2|SCO2,132,951,416,541,102,41,25,34
DENND6B|DENND6B,49,215,162,221,18,15,0,0
PPP6R2|PPP6R2,711,1437,1094,1611,5160,1673,1410,1234
MIR1651|MIR1651,0,0,0,1,507,398,262,205
MIR1651,0,0,0,1,28,0,5,12
SBF1|SBF1,800,1848,1187,3723,0,0,0,0
LOC112532882|LOC112532882,196,437,418,473,0,0,0,0
LOC112532883|LOC112532883,6,14,12,11,272,108,131,145
LOC112532881|LOC112532881,6,14,12,11,3235,1140,813,831
SMO|SMO,386,1490,901,1251,0,0,0,0
UBE2H|UBE2H,1077,3124,2254,3422,0,0,0,0
AHCYL2|AHCYL2,147,524,340,635,4470,1308,1154,1440
STRIP2|STRIP2,52,313,142,356,2525,784,534,485
LOC107053537|LOC107053537,24,53,22,49,93,31,34,45
SMKR1|SMKR1,0,0,0,0,751,241,234,223
NRF1|NRF1,156,455,336,509,681,196,236,169
IRF5|IRF5,59,127,102,259,25,6,5,5
LOC112532892|LOC112532892,0,9,24,7,24,6,4,5
TNPO3|TNPO3,264,1293,758,1185,2511,1001,873,796
LOC100859230|LOC100859230,0,0,0,0,1005,380,472,430
ZC3HC1|ZC3HC1,111,513,211,278,254,122,94,53
MIR6676|MIR6676,1,0,1,0,1657,720,617,525
ERR2984226.104|MIR6676,1,0,0,0,10,0,6,5
CPA2|CPA2,0,0,0,0,310,79,35,77
CPA5|CPA5,0,0,0,0,41,9,12,25
TMEM209|TMEM209,53,144,74,229,3,9,5,0
MIR6629|MIR6629,0,0,0,0,753,206,448,570
MIR6629,0,0,0,0,5109,2276,3280,2978
KLHDC10|KLHDC10,265,627,417,767,53,22,42,31
CEP41|CEP41,0,72,35,58,278,107,120,176
IL15RA|IL15RA,13,66,72,133,2,2,0,2
MEST|MEST,74,279,89,217,1,1,0,1
COPG2|COPG2,402,1211,977,1782,1214,388,630,507
FBXO18|FBXO18,137,443,424,732,0,0,1,0
ANKRD16|ANKRD16,118,302,232,353,0,0,1,0
ASB13|ASB13,190,607,511,748,304,199,254,255
TUBAL3|TUBAL3,0,0,4,0,360,177,173,206
LOC416695|LOC416695,0,0,0,0,2432,1028,1040,1012
UCN3|UCN3,0,0,0,0,83,41,49,56
NET1|NET1,282,1777,651,1338,1262,514,735,751
LOC101748925|LOC101748925,0,0,0,0,342,156,244,193
SLC35B4|SLC35B4,87,231,130,393,941,433,545,454
COL7A1L|COL7A1L,0,0,0,2,0,7,0,0
MIR205B|MIR205B,0,0,0,0,1208,482,588,710
MIR205B,0,0,0,0,0,0,0,0
FAM208B|FAM208B,194,286,362,1017,12001,4139,3579,3443
LOC107053421|LOC107053421,0,0,0,0,493,217,139,196
GDI2|GDI2,2423,7150,4402,8097,0,22,10,0
CHCHD3|CHCHD3,485,1538,979,1559,1663,958,1944,491
LOC101750196|LOC101750196,0,11,3,44,0,0,0,0
LOC107054205|LOC107054205,5,11,7,26,0,0,0,0
LOC101748467|LOC101748467,13,26,23,80,2744,955,983,926
LOC107054320|LOC107054320,0,4,3,9,9,4,0,0
LOC107054228|LOC107054228,2,12,18,33,0,0,0,0
EXOC4|EXOC4,382,1056,527,1645,2,2,0,0
LOC101750035|LOC101750035,8,14,9,21,0,2,0,0
LOC107055493|LOC107055493,0,0,0,3,1,0,0,0
LOC101747803|LOC101747803,0,3,0,18,6,3,0,0
LOC112532918|LOC112532918,3,3,0,17,0,0,0,0
LOC107055494|LOC107055494,6,2,2,16,0,0,0,0
LOC100858111|LOC100858111,0,10,11,22,11,0,0,2
MIR6659|MIR6659,0,0,0,0,3,0,0,2
MIR6659,0,0,0,0,2137,997,840,1080
LOC107053233|LOC107053233,11,14,13,43,6,5,3,0
LOC101749355|LOC101749355,4,5,8,23,14,8,11,2
MIR6621,0,0,0,1,3,0,2,0
