"genes","logFC","logCPM","PValue","FDR"
"VTG2",24.91965682,15.56426561,0,0
"FGA",21.11001908,11.75466977,7.32496576724551e-257,5.69516088403338e-253
"APOB",16.39137301,13.58155895,7.08226602674189e-244,3.67097455719454e-240
"FADS2",19.56231118,10.20704921,1.46059629914801e-241,5.67806811293789e-238
"TRNAG-GCC_6",-19.80363793,10.44822939,6.56942196369083e-234,2.04309023070785e-230
"ALB",13.61606116,15.7212148,1.87692315097826e-230,4.86435916628533e-227
"TRNAY-GUA_8",-19.17251701,9.817100542,2.45973893956156e-228,5.46413435859747e-225
"GAPDH",19.06726538,9.712057131,7.53510923747012e-225,1.46463685803325e-221
"LOC107054080",-14.21424211,13.0661081,2.19920290838523e-224,3.79973391393225e-221
"ERR2984226.20088",-17.11197208,10.70890567,4.72080818871863e-224,7.34085673345747e-221
"LOC112533103",-16.89205147,10.48515631,1.89048219147284e-221,2.67245437067297e-218
"VTG1",12.14679314,14.38638395,2.75482247196462e-218,3.56979078658749e-215
"LOC112532415",-16.18709264,11.61299273,2.10229042511825e-217,2.5146627777376e-214
"ITIH3",18.94981257,9.594621447,1.48556109584143e-216,1.65003393145244e-213
"SERPING1",18.55952222,9.204393454,2.52965064067268e-215,2.62240449749735e-212
"LOC107052239",-17.72720884,8.371754222,2.38192455814313e-213,2.31493292994535e-210
"LOC107054029",-20.17680078,10.82139454,2.53452891112233e-212,2.31834850399719e-209
"MIR1701",-17.55532121,8.199858409,1.39666067470228e-207,1.20655963842336e-204
"RAB3C",-18.8143538,9.458931438,2.85323110035889e-207,2.33514440055688e-204
"MIR1798",-19.13980991,9.78439194,1.91092120942702e-206,1.4857412403295e-203
"FAM180B",-11.31168622,8.696412292,1.54362276581774e-205,1.14301590516504e-202
"MIR6591",-15.00115024,8.099051856,1.00996215455059e-204,7.13859613784623e-202
"DDX3X",17.54055371,8.185696596,1.36577129799017e-204,9.23380160162921e-202
"VTN",14.98660756,10.96619326,2.42631186625502e-204,1.57204789667773e-201
"KIAA1958",17.78844117,8.433498763,7.97482309861483e-204,4.96033996733842e-201
"LOC112533324",-15.08854311,10.41570028,1.12545772850871e-200,6.73110295319633e-198
"LOC112533109",-20.45092984,14.05609175,1.62510194451408e-200,9.35938342118292e-198
"MIR6662",-20.46534928,11.10994552,7.29497741160932e-200,4.05131781251875e-197
"SLC25A1",17.93901973,8.584034656,8.69275861141654e-199,4.66111711750094e-196
"LOC112532319",-16.8221408,7.466633945,2.63868568287536e-198,1.36771874562373e-195
"SLC25A6",17.51702349,8.162174647,3.45194477881062e-198,1.73154004227436e-195
"C2",17.58115906,8.226288123,6.15745215591153e-198,2.99213690701326e-195
"ACP6",-11.18408518,14.87366516,8.16559232959646e-198,3.84772608258258e-195
"AGT",17.97866391,8.623667335,8.6128094204508e-198,3.93909372023559e-195
"IL12A",-16.7666597,7.411148489,1.69200490909006e-197,7.51733609610012e-195
"ERR2984226.14077",-13.72198629,7.318525324,3.5067523773834e-196,1.51472220745311e-193
"MIR155",-16.59013941,7.234613101,1.21402046762389e-193,5.1021671004193e-191
"MIR6673",-17.52248053,8.167014217,1.26316417036094e-192,5.16900074976649e-190
"LOC112533538",-17.45205665,8.096587744,1.87509013493468e-192,7.47632092262415e-190
"LOC112531241",-12.80647139,9.022374764,3.09741721631253e-191,1.2041209428415e-188
