gene_id,ERR2984230,ERR2984231,ERR2984232,ERR2984239,ERR2984238,ERR2984249
RABL2L|RABL2L,0,40,0,114,86,88
NME6|NME6,31,36,34,336,242,179
ARSA|ARSA,0,0,0,890,684,477
GOLGB1|GOLGB1,7,0,0,4883,5392,3626
HCLS1|HCLS1,342,197,230,1814,1108,758
LOC112532876|LOC112532876,1761,1414,899,61,49,95
MIR6708|MIR6708,107,103,52,0,2,0
MIR6708,1397,989,831,0,1,0
MIR1604|MIR1604,212,372,206,0,0,0
MIR1604,898,675,926,0,0,0
SHANK3|SHANK3,2,3,0,93,112,150
LOC112532875|LOC112532875,0,0,0,11,25,38
LOC107049475|LOC107049475,0,1,0,479,536,456
CLC2DL5|CLC2DL5,0,0,4,3812,2571,1571
LOC112532835|LOC112532835,479,528,434,287,234,158
CLC2DL4|CLC2DL4,24,3,2,2201,2057,1349
CARMIL3|CARMIL3,144,48,27,500,448,319
RNF212B|RNF212B,289,254,175,2030,1655,1311
LOC107049418|LOC107049418,4256,5620,4746,4,9,5
LOC101749441|LOC101749441,19,53,30,0,0,0
LOC107049791|LOC107049791,364,75,194,0,2,1
LOC112532874|LOC112532874,120,17,84,17,17,1
CLC2DL2|CLC2DL2,668,5194,8165,1246,737,468
LOC112531646|LOC112531646,213,91,244,4,12,2
LOC112531610|LOC112531610,511,260,417,85,143,40
LOC112532873|LOC112532873,613,150,230,940,559,266
DHRS4|DHRS4,30,73,50,14792,9092,7047
LOC107055491|LOC107055491,106,79,38,112,83,192
LOC107053477|LOC107053477,65,146,40,271,484,199
LOC107049847|LOC107049847,38,73,38,123,213,57
LOC770705|LOC770705,9,15,21,8902,6530,8420
LOC101747821|LOC101747821,2683,1507,1899,223,761,193
CD69L|CD69L,1029,770,819,792,1350,851
LOC107055489|LOC107055489,0,0,0,299,356,242
LOC112532969|LOC112532969,392,268,291,79,66,61
LOC112532872|LOC112532872,0,0,0,193,102,228
CLC2DL3|CLC2DL3,0,0,0,245,112,175
LOC112529922|LOC112529922,0,0,0,9,16,11
LOC112532889|LOC112532889,0,0,0,125,46,43
DPF2|DPF2,0,0,0,23,37,20
LOC107050717|LOC107050717,125,145,151,3550,3246,2612
LOC107050086|LOC107050086,39,75,43,323,417,155
LOC112532890|LOC112532890,5,0,0,42,26,20
LOC112533143|LOC112533143,201,103,143,381,434,263
LOC112532888|LOC112532888,23,52,33,411,284,329
LOC107050254|LOC107050254,1641,1168,1701,1138,939,1124
ARF5|ARF5,0,0,0,128,87,57
GCC1|GCC1,21,3,13,782,956,517
MIOX|MIOX,248,196,214,12,9,6
NCAPH2|NCAPH2,138,170,160,146,119,80
LMF2|LMF2,0,0,32,4406,3481,2968
SCO2|SCO2,57,106,91,803,739,342
DENND6B|DENND6B,15,0,7,264,286,235
PPP6R2|PPP6R2,2191,1462,2345,2364,2294,1981
MIR1651|MIR1651,269,416,359,0,0,0
MIR1651,8,33,9,0,0,0
SBF1|SBF1,0,0,0,2581,3210,2740
LOC112532882|LOC112532882,0,0,127,634,501,458
LOC112532883|LOC112532883,197,159,91,22,18,5
LOC112532881|LOC112532881,1527,1089,1668,22,18,5
SMO|SMO,0,0,0,2052,1745,1571
UBE2H|UBE2H,0,0,0,4884,3826,3758
AHCYL2|AHCYL2,2244,1177,2103,1046,971,634
STRIP2|STRIP2,1019,471,1225,607,49,113
LOC107053537|LOC107053537,40,66,36,49,49,41
SMKR1|SMKR1,355,290,458,6,3,4
NRF1|NRF1,293,418,263,794,731,479
IRF5|IRF5,5,12,3,235,206,179
LOC112532892|LOC112532892,5,12,3,22,22,12
TNPO3|TNPO3,1079,900,1206,1865,1761,1203
LOC100859230|LOC100859230,509,332,472,4,0,0
ZC3HC1|ZC3HC1,185,101,107,581,436,316
MIR6676|MIR6676,809,754,818,0,0,0
ERR2984226.104|MIR6676,23,23,12,0,0,0
CPA2|CPA2,165,142,52,0,0,0
CPA5|CPA5,38,21,11,0,0,0
TMEM209|TMEM209,0,0,0,273,221,193
MIR6629|MIR6629,317,335,238,0,2,0
MIR6629,2770,2254,2307,0,1,0
KLHDC10|KLHDC10,42,35,42,1116,912,877
CEP41|CEP41,164,74,107,92,89,47
IL15RA|IL15RA,0,0,0,103,174,92
MEST|MEST,0,0,0,445,316,201
COPG2|COPG2,659,419,569,2490,1793,1673
FBXO18|FBXO18,0,1,0,838,709,715
ANKRD16|ANKRD16,0,0,0,542,441,377
ASB13|ASB13,261,205,231,1099,1070,893
TUBAL3|TUBAL3,213,85,198,0,0,0
LOC416695|LOC416695,1135,977,1003,0,0,0
UCN3|UCN3,48,72,64,0,0,0
NET1|NET1,580,421,390,3790,2926,909
LOC101748925|LOC101748925,240,229,262,8,4,0
SLC35B4|SLC35B4,465,511,494,356,308,207
COL7A1L|COL7A1L,4,0,5,0,0,0
MIR205B|MIR205B,541,362,429,0,0,0
MIR205B,0,0,0,0,0,0
FAM208B|FAM208B,5661,4402,6495,1002,1036,985
LOC107053421|LOC107053421,257,128,208,0,0,3
GDI2|GDI2,8,0,17,11172,8731,6436
CHCHD3|CHCHD3,1003,649,810,2607,1756,1180
LOC101750196|LOC101750196,0,0,0,17,6,8
LOC107054205|LOC107054205,9,0,0,11,12,0
LOC101748467|LOC101748467,1116,525,1064,26,24,8
LOC107054320|LOC107054320,0,10,0,0,4,0
LOC107054228|LOC107054228,0,0,0,15,17,6
EXOC4|EXOC4,0,0,0,1972,1514,1147
LOC101750035|LOC101750035,0,0,0,8,12,4
LOC107055493|LOC107055493,2,2,0,1,0,0
LOC101747803|LOC101747803,0,11,0,6,10,0
LOC112532918|LOC112532918,0,0,0,6,8,2
LOC107055494|LOC107055494,0,0,0,3,6,0
LOC100858111|LOC100858111,3,12,0,6,6,0
MIR6659|MIR6659,3,8,0,0,0,0
MIR6659,1362,979,1267,0,0,0
LOC107053233|LOC107053233,3,7,0,19,11,2
LOC101749355|LOC101749355,7,23,3,8,10,3
MIR6621,0,3,0,0,1,0
MIR6621|MIR6621,10,9,3,3,3,6
PODXL|PODXL,3,3,0,717,517,213
PLXNA4|PLXNA4,4,18,0,786,552,766
LOC101750931|LOC101750931,0,0,0,100,132,104
MKLN1|MKLN1,0,0,0,3668,2549,2453
LOC107055713|LOC107055713,422,323,447,207,223,97
K123|K123,536,298,488,1386,559,347
LOC112532968|LOC112532968,0,0,0,0,7,5
LOC107053972|LOC107053972,4,1,3,71,40,34
PRKCQ|PRKCQ,85,25,80,264,172,159
LOC419112|LOC419112,3,0,0,33,26,7
RBM17|RBM17,1,0,0,1708,1252,970
PFKFB3|PFKFB3,1722,1094,1760,678,1548,1049
IL2RA|IL2RA,114,120,42,95,61,33
ITIH5|ITIH5,865,364,592,265,197,102
SFMBT2|SFMBT2,5,5,5,1589,1105,1125
LOC107054553|LOC107054553,24,20,12,6,0,0
GATA3|GATA3,127,77,85,153,52,56
TAF3|TAF3,23,0,0,1584,1206,1044
MIR1596|MIR1596,723,639,787,0,0,0
MIR1596,757,462,297,0,0,0
CELF2|CELF2,124,14,92,72,40,34
USP6NL|USP6NL,555,452,503,828,617,617
ECHDC3|ECHDC3,298,68,179,4988,2861,2501
PROSER2|PROSER2,0,0,0,1591,1364,1640
ITIH2|ITIH2,37,46,30,94657,60054,60981
KIN|KIN,841,565,934,566,381,326
ATP5C1|ATP5C1,0,0,0,13674,8097,6507
UPF2|UPF2,0,0,0,2561,2014,1913
DHTKD1|DHTKD1,0,0,0,7148,3575,4342
SEC61A2|SEC61A2,0,0,0,1325,1097,849
NUDT5|NUDT5,45,16,43,43537,21972,21295
CDC123|CDC123,447,251,381,2976,2244,1605
CCDC3|CCDC3,1854,1719,2057,28,33,5
LOC112532973|LOC112532973,896,765,1240,195,114,80
CAMK1D|CAMK1D,1460,887,1313,14706,14277,8040
MCM10|MCM10,5696,4678,5553,42,58,35
OPTN|OPTN,35044,22298,33974,3772,3234,2347
PHYH|PHYH,290,177,209,10735,6490,6467
SEPHS1|SEPHS1,3907,2063,3400,1801,1192,910
BEND7|BEND7,13997,11869,14348,2719,2082,1866
PRPF18|PRPF18,568,591,636,1209,914,674
HSPA14|HSPA14,1168,821,1220,500,309,297
DCLRE1C|DCLRE1C,32,16,6,120,99,78
MEIG1|MEIG1,37,28,28,0,0,4
SUV39H2|SUV39H2,49,48,109,1124,780,745
FAM107B|FAM107B,8323,4919,8528,637,337,259
LOC112532975|LOC112532975,1930,1628,1575,0,0,0
FRMD4A|FRMD4A,3971,2520,4282,219,149,160
MIR1460|MIR1460,826,535,932,0,0,0
MIR1460,1350,873,1406,0,0,0
DMTF1|DMTF1,524,419,549,1480,1411,1071
TMEM243|TMEM243,213,212,253,203,378,197
SEMA3D|SEMA3D,422,190,347,37,51,38
KIAA1324L|KIAA1324L,0,0,0,14085,8584,4559
SEMA3E|SEMA3E,181,88,126,0,20,8
SEMA3A|SEMA3A,0,0,0,0,5,6
PCLO|PCLO,0,0,0,9,0,0
LOC107055432|LOC107055432,502,451,486,0,0,0
LOC107055502|LOC107055502,62,87,32,0,0,0
LOC112532986|LOC112532986,761,723,602,9,0,6
LOC107057089|LOC107057089,221,300,142,15,10,10
HGF|HGF,3,0,0,157,104,84
SEMA3C|SEMA3C,35,25,50,117,94,53
CACNA2D1|CACNA2D1,5,5,0,265,109,119
LOC112532984|LOC112532984,3788,1238,4806,0,0,0
GNAT3|GNAT3,6,0,0,0,0,3
GNAI1|GNAI1,0,0,0,480,175,126
CD36|CD36,0,0,0,24931,16652,14243
TMEM60|TMEM60,0,0,0,597,486,353
PHTF2|PHTF2,0,7,13,350,219,186
RSBN1L|RSBN1L,96,48,94,1129,987,940
LOC112532992|LOC112532992,10,6,0,5,5,9
LOC107051625|LOC107051625,51,27,68,760,6,130
PTPN12|PTPN12,112,52,56,2546,1971,1657
MAGI2|MAGI2,0,0,0,146,71,70
ARMC10|ARMC10,167,118,191,111,87,49
FBXL13|FBXL13,271,83,124,0,0,0
LRRC17|LRRC17,11467,5821,9864,36,26,27
NAPEPLD|NAPEPLD,238,267,241,1741,758,692
GSAP|GSAP,52,44,45,2135,1209,1162
CCDC146|CCDC146,551,407,476,36,20,24
LOC107051626|LOC107051626,1112,793,1202,18,44,28
FGL2|FGL2,37,30,67,822,421,281
FAM185A|FAM185A,0,0,0,327,295,219
DNAJC2|DNAJC2,11,8,0,1849,1774,1301
PMPCB|PMPCB,605,374,607,2675,1735,1505
PSMC2|PSMC2,907,537,608,6405,5305,4244
ORC5|ORC5,26,3,14,324,310,165
TRNAG-CCC,5,290,165,0,0,0
RELN|RELN,20,6,5,918,604,529
SLC26A5|SLC26A5,621,114,302,5356,4795,5739
LOC112533002|LOC112533002,193,69,161,13,10,11
LOC101752215|LOC101752215,930,840,1122,490,346,339
KMT2E|KMT2E,1120,875,1337,2986,3273,2828
LOC107051628|LOC107051628,3117,2392,3681,163,80,69
SRPK2|SRPK2,142,139,212,885,782,730
LOC107051629|LOC107051629,0,0,0,0,0,8
LOC107051627|LOC107051627,0,4,3,46,48,48
EFCAB10|EFCAB10,785,430,498,18,4,8
RINT1|RINT1,4327,1848,3721,827,897,629
PUS7|PUS7,8,0,0,1472,1413,938
CCDC71L|CCDC71L,208,159,60,527,603,361
LOC112533020|LOC112533020,2412,1347,1336,0,0,0
ATXN7L1|ATXN7L1,43,79,27,1913,1542,1306
CDHR3|CDHR3,440,343,380,100,97,67
LOC107051630|LOC107051630,0,0,0,17,11,11
SYPL1|SYPL1,34,9,18,1466,1289,898
NAMPT|NAMPT,737,649,758,5824,5279,4135
