gene_id,ERR2984230,ERR2984231,ERR2984232,ERR2984233,ERR2984242,ERR2984243,ERR2984244,ERR2984245
LOC430443|LOC430443,0,40,0,0,0,0,24,8
LOC112532876|LOC112532876,31,36,34,25,51,23,41,19
FLNC|FLNC,0,0,0,0,2,0,0,0
LOC107050884|LOC107050884,7,0,0,0,0,0,0,0
LOC107049475|LOC107049475,342,197,230,202,765,358,238,335
CLC2DL5|CLC2DL5,1761,1414,899,1193,3309,1957,2180,1477
LOC112532835|LOC112532835,107,103,52,43,217,106,169,75
CLC2DL4|CLC2DL4,1397,989,831,953,2627,862,511,653
CARMIL3|CARMIL3,212,372,206,183,405,145,217,214
RNF212B|RNF212B,898,675,926,768,1544,601,957,686
LOC107049418|LOC107049418,2,3,0,0,2,5,7,9
LOC101749441|LOC101749441,0,0,0,0,0,0,0,0
LOC107049791|LOC107049791,0,1,0,0,0,1,0,2
LOC112532874|LOC112532874,0,0,4,0,0,0,0,0
CLC2DL2|CLC2DL2,479,528,434,519,862,489,503,356
LOC112531646|LOC112531646,24,3,2,90,6,4,6,2
LOC112531610|LOC112531610,144,48,27,265,97,42,39,23
LOC112532873|LOC112532873,289,254,175,209,498,316,393,153
DHRS4|DHRS4,4256,5620,4746,4921,8858,3603,4300,3485
LOC107055491|LOC107055491,19,53,30,27,38,12,54,22
LOC107053477|LOC107053477,364,75,194,285,655,224,189,132
LOC107049847|LOC107049847,120,17,84,97,195,101,59,80
LOC770705|LOC770705,668,5194,8165,5902,12220,2638,3386,2447
LOC101747821|LOC101747821,213,91,244,362,379,130,176,72
CD69L|CD69L,511,260,417,440,721,348,657,739
LOC107055489|LOC107055489,613,150,230,329,956,340,194,115
LOC112532969|LOC112532969,30,73,50,17,36,27,43,31
LOC112532872|LOC112532872,106,79,38,33,183,71,96,91
CLC2DL3|CLC2DL3,65,146,40,52,87,60,79,41
LOC112532889|LOC112532889,38,73,38,73,32,24,29,17
LOC112529922|LOC112529922,9,15,21,10,9,0,11,12
GOLGB1|GOLGB1,2683,1507,1899,1079,4974,1576,2046,2238
HCLS1|HCLS1,1029,770,819,853,1672,869,773,649
OR9Q1|OR9Q1,0,0,0,0,0,0,0,0
ARSA|ARSA,392,268,291,289,798,321,488,322
ACRL|ACRL,0,0,0,0,0,0,0,0
MIR6708|MIR6708,0,0,0,0,0,0,0,0
MIR6708,0,0,0,0,0,0,0,0
MIR1604|MIR1604,0,0,0,0,0,0,0,0
MIR1604,0,0,0,0,0,0,0,0
NME6|NME6,125,145,151,151,223,85,137,136
RABL2L|RABL2L,39,75,43,51,49,40,39,50
ACR|ACR,5,0,0,8,13,0,5,20
SHANK3|SHANK3,201,103,143,67,327,97,113,100
LOC112532875|LOC112532875,23,52,33,21,53,11,18,18
LOC107050717|LOC107050717,1641,1168,1701,893,3900,1095,908,1221
LOC112532987|LOC112532987,0,0,0,0,0,0,0,0
DPF2|DPF2,21,3,13,2,15,15,3,0
LOC112533143|LOC112533143,248,196,214,176,341,137,172,121
LOC107050086|LOC107050086,138,170,160,69,400,191,168,180
ADM2|ADM2,0,0,32,11,13,11,5,0
NCAPH2|NCAPH2,57,106,91,59,102,41,25,34
MIOX|MIOX,15,0,7,9,18,15,0,0
LMF2|LMF2,2191,1462,2345,1381,5160,1673,1410,1234
SCO2|SCO2,269,416,359,388,507,398,262,205
LOC112532890|LOC112532890,8,33,9,34,28,0,5,12
PAX4|PAX4,0,0,0,0,0,0,0,0
LOC112532888|LOC112532888,0,0,127,0,0,0,0,0
DENND6B|DENND6B,197,159,91,113,272,108,131,145
PPP6R2|PPP6R2,1527,1089,1668,911,3235,1140,813,831
MIR1651|MIR1651,0,0,0,0,0,0,0,0
MIR1651,0,0,0,0,0,0,0,0
SBF1|SBF1,2244,1177,2103,791,4470,1308,1154,1440
LOC107050254|LOC107050254,1019,471,1225,317,2525,784,534,485
ARF5|ARF5,40,66,36,66,93,31,34,45
GCC1|GCC1,355,290,458,420,751,241,234,223
LOC112532882|LOC112532882,293,418,263,319,681,196,236,169
LOC112532883|LOC112532883,5,12,3,12,25,6,5,5
LOC112532881|LOC112532881,5,12,3,12,24,6,4,5
SMO|SMO,1079,900,1206,685,2511,1001,873,796
AHCYL2|AHCYL2,509,332,472,228,1005,380,472,430
IRF5|IRF5,185,101,107,60,254,122,94,53
TNPO3|TNPO3,809,754,818,572,1657,720,617,525
LOC112532892|LOC112532892,23,23,12,14,10,0,6,5
STRIP2|STRIP2,165,142,52,54,310,79,35,77
LOC107053537|LOC107053537,38,21,11,17,41,9,12,25
SMKR1|SMKR1,0,0,0,0,3,9,5,0
NRF1|NRF1,317,335,238,231,753,206,448,570
UBE2H|UBE2H,2770,2254,2307,2322,5109,2276,3280,2978
CEP41|CEP41,42,35,42,24,53,22,42,31
TMEM209|TMEM209,164,74,107,62,278,107,120,176
MIR6629|MIR6629,0,0,0,0,2,2,0,2
MIR6629,0,0,0,0,1,1,0,1
KLHDC10|KLHDC10,659,419,569,360,1214,388,630,507
MIR6676|MIR6676,0,1,0,0,0,0,1,0
MIR6676,0,0,0,0,0,0,1,0
ZC3HC1|ZC3HC1,261,205,231,248,304,199,254,255
MEST|MEST,213,85,198,138,360,177,173,206
COPG2|COPG2,1135,977,1003,727,2432,1028,1040,1012
IL15RA|IL15RA,48,72,64,71,83,41,49,56
FBXO18|FBXO18,580,421,390,231,1262,514,735,751
ANKRD16|ANKRD16,240,229,262,226,342,156,244,193
ASB13|ASB13,465,511,494,487,941,433,545,454
TUBAL3|TUBAL3,4,0,5,6,0,7,0,0
