"genes","ERR2984230","ERR2984231","ERR2984232","ERR2984233","ERR2984242","ERR2984243","ERR2984244","ERR2984245"
"LOC112532876|LOC112532876",31,36,34,25,51,23,41,19
"LOC112532835|LOC112532835",107,103,52,43,217,106,169,75
"CARMIL3|CARMIL3",212,372,206,183,405,145,217,214
"RNF212B|RNF212B",898,675,926,768,1544,601,957,686
"CLC2DL2|CLC2DL2",479,528,434,519,862,489,503,356
"LOC112531610|LOC112531610",144,48,27,265,97,42,39,23
"LOC112532873|LOC112532873",289,254,175,209,498,316,393,153
"DHRS4|DHRS4",4256,5620,4746,4921,8858,3603,4300,3485
"LOC107055491|LOC107055491",19,53,30,27,38,12,54,22
"LOC107053477|LOC107053477",364,75,194,285,655,224,189,132
"LOC107049847|LOC107049847",120,17,84,97,195,101,59,80
"LOC770705|LOC770705",668,5194,8165,5902,12220,2638,3386,2447
"LOC101747821|LOC101747821",213,91,244,362,379,130,176,72
"CD69L|CD69L",511,260,417,440,721,348,657,739
"LOC107055489|LOC107055489",613,150,230,329,956,340,194,115
"LOC112532969|LOC112532969",30,73,50,17,36,27,43,31
"LOC112532872|LOC112532872",106,79,38,33,183,71,96,91
"CLC2DL3|CLC2DL3",65,146,40,52,87,60,79,41
"LOC112532889|LOC112532889",38,73,38,73,32,24,29,17
"LOC112529922|LOC112529922",9,15,21,10,9,0,11,12
"HCLS1|HCLS1",1029,770,819,853,1672,869,773,649
"ARSA|ARSA",392,268,291,289,798,321,488,322
"NME6|NME6",125,145,151,151,223,85,137,136
"LOC112532875|LOC112532875",23,52,33,21,53,11,18,18
"LOC107050717|LOC107050717",1641,1168,1701,893,3900,1095,908,1221
"LOC112533143|LOC112533143",248,196,214,176,341,137,172,121
"LOC107050086|LOC107050086",138,170,160,69,400,191,168,180
"NCAPH2|NCAPH2",57,106,91,59,102,41,25,34
"SCO2|SCO2",269,416,359,388,507,398,262,205
"DENND6B|DENND6B",197,159,91,113,272,108,131,145
"PPP6R2|PPP6R2",1527,1089,1668,911,3235,1140,813,831
"SBF1|SBF1",2244,1177,2103,791,4470,1308,1154,1440
"LOC107050254|LOC107050254",1019,471,1225,317,2525,784,534,485
"ARF5|ARF5",40,66,36,66,93,31,34,45
"GCC1|GCC1",355,290,458,420,751,241,234,223
"SMO|SMO",1079,900,1206,685,2511,1001,873,796
"AHCYL2|AHCYL2",509,332,472,228,1005,380,472,430
"IRF5|IRF5",185,101,107,60,254,122,94,53
"TNPO3|TNPO3",809,754,818,572,1657,720,617,525
"LOC112532892|LOC112532892",23,23,12,14,10,0,6,5
"STRIP2|STRIP2",165,142,52,54,310,79,35,77
"LOC107053537|LOC107053537",38,21,11,17,41,9,12,25
"NRF1|NRF1",317,335,238,231,753,206,448,570
"UBE2H|UBE2H",2770,2254,2307,2322,5109,2276,3280,2978
"CEP41|CEP41",42,35,42,24,53,22,42,31
"TMEM209|TMEM209",164,74,107,62,278,107,120,176
"KLHDC10|KLHDC10",659,419,569,360,1214,388,630,507
"ZC3HC1|ZC3HC1",261,205,231,248,304,199,254,255
"MEST|MEST",213,85,198,138,360,177,173,206
"COPG2|COPG2",1135,977,1003,727,2432,1028,1040,1012
"IL15RA|IL15RA",48,72,64,71,83,41,49,56
"ANKRD16|ANKRD16",240,229,262,226,342,156,244,193
"ASB13|ASB13",465,511,494,487,941,433,545,454
"FAM208B|FAM208B",541,362,429,249,1208,482,588,710
"SLC35B4|SLC35B4",257,128,208,95,493,217,139,196
"NET1|NET1",1003,649,810,421,1663,958,1944,491
"EXOC4|EXOC4",1116,525,1064,521,2744,955,983,926
"CHCHD3|CHCHD3",1362,979,1267,970,2137,997,840,1080
"PODXL|PODXL",422,323,447,160,732,313,307,331
"LOC101750931|LOC101750931",85,25,80,26,98,58,107,55
"MKLN1|MKLN1",1722,1094,1760,1158,3363,1411,1398,1761
"LOC107055713|LOC107055713",114,120,42,83,160,77,113,108
"K123|K123",865,364,592,548,1438,1145,473,984
"LOC107053972|LOC107053972",24,20,12,9,51,34,9,23
"PRKCQ|PRKCQ",127,77,85,67,144,142,106,102
"PFKFB3|PFKFB3",757,462,297,295,840,788,224,139
"IL2RA|IL2RA",124,14,92,0,286,131,67,127
"SFMBT2|SFMBT2",555,452,503,296,1497,433,559,642
"ITIH5|ITIH5",298,68,179,84,279,194,210,198
"GATA3|GATA3",37,46,30,57,64,43,41,32
"USP6NL|USP6NL",447,251,381,213,873,376,273,361
"ECHDC3|ECHDC3",1854,1719,2057,2032,3209,1902,1567,1603
"PROSER2|PROSER2",896,765,1240,590,1930,711,876,809
"UPF2|UPF2",1460,887,1313,613,2462,1126,1103,1206
"ATP5C1|ATP5C1",5696,4678,5553,5460,9821,4476,4518,4831
"ITIH2|ITIH2",35044,22298,33974,19939,89734,35221,40988,53081
"KIN|KIN",290,177,209,176,551,236,266,266
"DHTKD1|DHTKD1",3907,2063,3400,1799,8596,2639,1993,3002
"NUDT5|NUDT5",13997,11869,14348,14947,24604,13282,14361,16383
"SEC61A2|SEC61A2",568,591,636,519,1188,434,409,404
"CDC123|CDC123",1168,821,1220,893,2354,1218,1526,1126
"CCDC3|CCDC3",32,16,6,9,30,15,15,20
"LOC112532973|LOC112532973",49,48,109,83,190,90,112,114
"CAMK1D|CAMK1D",8323,4919,8528,4067,17552,5809,7684,7113
"OPTN|OPTN",1930,1628,1575,1202,3444,1561,1451,1503
"PHYH|PHYH",3971,2520,4282,2999,9621,3771,4812,4633
"SEPHS1|SEPHS1",826,535,932,453,1736,704,678,613
"BEND7|BEND7",1350,873,1406,875,3011,1199,1173,1403
"PRPF18|PRPF18",524,419,549,384,985,576,666,619
"HSPA14|HSPA14",213,212,253,149,403,165,223,180
"FAM107B|FAM107B",422,190,347,177,750,460,332,325
"FRMD4A|FRMD4A",181,88,126,52,337,149,105,133
"SUV39H2|SUV39H2",502,451,486,325,1015,446,485,552
"DCLRE1C|DCLRE1C",62,87,32,21,113,46,52,28
"DMTF1|DMTF1",761,723,602,460,1417,621,734,683
"TMEM243|TMEM243",221,300,142,357,151,171,147,139
"SEMA3D|SEMA3D",35,25,50,20,67,20,19,16
"KIAA1324L|KIAA1324L",3788,1238,4806,1010,6314,2120,4751,3930
"SEMA3C|SEMA3C",51,27,68,42,65,72,34,39
"CACNA2D1|CACNA2D1",112,52,56,27,210,136,166,134
"GNAI1|GNAI1",167,118,191,86,336,287,171,114
"CD36|CD36",11467,5821,9864,6765,24548,11958,11401,11185
"TMEM60|TMEM60",238,267,241,214,356,216,239,315
"MAGI2|MAGI2",52,44,45,13,140,60,70,69
"RSBN1L|RSBN1L",551,407,476,276,1276,481,513,570
"PTPN12|PTPN12",1112,793,1202,724,2222,807,886,980
"ARMC10|ARMC10",37,30,67,38,64,35,60,44
"LRRC17|LRRC17",11,8,0,0,21,20,11,4
"NAPEPLD|NAPEPLD",605,374,607,371,1163,612,557,740
"GSAP|GSAP",907,537,608,497,1762,691,719,868
"CCDC146|CCDC146",26,3,14,12,14,37,0,14
"LOC107051626|LOC107051626",20,6,5,10,7,10,0,11
"FGL2|FGL2",621,114,302,94,929,758,541,623
"FAM185A|FAM185A",193,69,161,100,393,156,231,202
"PMPCB|PMPCB",1120,875,1337,951,2010,908,808,1011
"PSMC2|PSMC2",3117,2392,3681,2839,5694,2571,2306,2534
"ORC5|ORC5",142,139,212,89,299,118,134,134
"RELN|RELN",785,430,498,250,2134,751,567,719
"SLC26A5|SLC26A5",4327,1848,3721,1273,9860,5605,4076,5140
"LOC101752215|LOC101752215",208,159,60,79,379,131,99,119
"KMT2E|KMT2E",2412,1347,1336,787,3864,1428,2279,2341
"LOC107051628|LOC107051628",43,79,27,87,74,40,60,52
"SRPK2|SRPK2",440,343,380,260,912,403,203,452
"RINT1|RINT1",470,255,366,314,833,275,368,296
"CCDC71L|CCDC71L",232,278,268,270,628,322,243,198
"ATXN7L1|ATXN7L1",985,610,657,465,1941,718,895,748
"CDHR3|CDHR3",25,19,18,32,55,45,51,46
"SYPL1|SYPL1",528,623,825,500,1569,399,470,682
"NAMPT|NAMPT",3457,2512,3337,2215,7800,2300,3298,2248
"PRKAR2B|PRKAR2B",198,183,143,78,330,118,146,115
"HBP1|HBP1",1293,587,916,307,2702,1105,1483,1566
"COG5|COG5",666,604,591,529,1269,564,538,595
"BCAP29|BCAP29",2375,1837,1877,1802,4084,2476,2299,2354
"DLD|DLD",5540,3267,5357,4061,9759,3772,3861,4747
"LRRK2|LRRK2",407,173,214,76,671,189,211,248
"LAMB4|LAMB4",27,7,21,11,41,11,21,21
"SLC2A13|SLC2A13",1469,1033,1850,926,3730,1147,1297,1393
"C12orf40|C12orf40",69,26,40,25,123,54,47,57
"ABCD2|ABCD2",1448,856,1172,906,3222,1530,1485,1821
"LOC107051634|LOC107051634",273,440,248,711,467,406,508,274
"KIF21A|KIF21A",2320,1695,2737,1513,5960,2413,2883,2370
"ALG10|ALG10",319,209,305,200,625,285,261,350
"TPRKB|TPRKB",362,311,431,316,547,250,256,345
"TRMU|TRMU",483,329,351,319,688,296,383,287
"HIST1H2B5L|HIST1H2B5L",114,127,159,47,222,109,92,59
"GRAMD4|GRAMD4",227,161,305,81,613,167,131,201
"CELSR1|CELSR1",758,503,591,279,1301,419,585,378
"TBC1D22A|TBC1D22A",913,518,725,435,1828,649,790,783
"BRD1|BRD1",666,591,572,413,1538,740,836,871
"ZBED4|ZBED4",743,420,775,382,1457,572,420,493
"LOC112533147|LOC112533147",157,94,137,103,200,106,224,221
"PIM3|PIM3",1983,1025,2164,1091,2220,1342,2039,2187
"MOV10L1|MOV10L1",16,0,0,5,42,19,28,19
"LOC429348|LOC429348",687,160,220,159,155,137,97,52
"TRABD|TRABD",2900,1677,2894,1441,3952,953,1118,1187
"SELENOO|SELENOO",2020,1431,1487,990,3825,1360,1307,1665
"MAPK12|MAPK12",98,86,65,70,136,58,140,118
"MAPK11|MAPK11",223,202,253,180,452,128,105,168
