"genes","logFC","logCPM","PValue","FDR"
"HPS5",-1.865975604,7.532007275,3.27673913655692e-13,4.38820905167703e-09
"ANXA13",-2.700623664,2.032103279,3.12308935169232e-12,2.09122062989318e-08
"LOC112532180",-2.260801176,-0.131097704,7.88754436556301e-09,2.82739874233987e-05
"SPATA1",1.01532142,5.908586454,8.44503805955757e-09,2.82739874233987e-05
"FRMPD2",2.126126844,2.213849185,2.99154726455483e-08,8.01256019338366e-05
"SGK1",-0.989666991,6.456101013,1.20669535057141e-07,0.000269334
"RN7SL1",-2.65606089,6.344225377,2.40322786014176e-07,0.000459772
"INTS5",-1.201965681,4.323840348,2.80083916541589e-07,0.00046886
"PRSS35",-1.268542075,2.406817508,3.95504960659621e-07,0.000588511
"TIMM8A",-0.984181938,4.494797626,4.43220524442773e-07,0.000593561
"FPGS",1.037648637,4.292192266,5.22407989326499e-07,0.000636008
"GM2A",-1.517517193,6.800236669,7.1544204811231e-07,0.000798433
"SEMA6D",2.188500951,3.716816545,9.44589148262353e-07,0.000973072
"CHST4",1.458191006,5.260024444,1.0975851020859e-06,0.001049919
"LOC112533599",-2.409293468,14.66674219,1.28245088207358e-06,0.001144972
"LRP2",3.232334296,-0.300292643,1.4507313994506e-06,0.001214262
"LOC107054259",2.296218097,1.041186013,1.67227672024186e-06,0.001317361
"DHRS3",0.957795835,6.542190158,1.89384444950331e-06,0.001393972
"ATIC",1.013749473,10.73416332,1.97770763212655e-06,0.001393972
"TRANK1",1.225866864,7.511975324,2.29326362647619e-06,0.001518043
"UGT2A1",0.952928154,6.864117128,2.38044341394547e-06,0.001518043
"C2H8ORF22",2.048709874,8.532831288,2.62316120463112e-06,0.001546709
"EGFR",0.985169597,7.075005007,2.65638424300577e-06,0.001546709
"MED13",1.177465975,5.428690632,3.24989334881018e-06,0.00181344
"DAP3",-0.985696116,4.08346843,3.59333795653153e-06,0.001914285
"PPARA",0.882995084,7.435813922,3.78590999512536e-06,0.001914285
"MBTD1",0.941002793,5.470858627,3.85944510993133e-06,0.001914285
"PRPS2",0.872337223,10.6614582,4.86178543091237e-06,0.002252461
"H6PD",0.748284024,6.050739815,4.87764089421555e-06,0.002252461
"LOC100857421",-1.431635916,1.589723799,5.71792961981473e-06,0.002552484
"SHH",1.182416482,2.272763948,6.82091147317489e-06,0.002946634
"PDHA1",-1.387192039,7.645941159,8.29896549312645e-06,0.003473117
"PYCRL",-1.057726123,4.302174912,8.9915197462719e-06,0.003648922
"LOC101748329",-2.688410639,-0.728140846,9.61636499007331e-06,0.003787716
"TULP3",-0.855866631,5.460595345,1.09397380401972e-05,0.004085865
"LOC423693",-0.922664346,5.32748142,1.1095947086548e-05,0.004085865
"TINAG",1.365944555,5.058225113,1.12886045059997e-05,0.004085865
"DDX24",-1.168933844,4.004220348,1.24242681784502e-05,0.004378574
"SIGMAR1",-1.047177219,6.795796252,1.28098561432098e-05,0.004398708
"SUPV3L1",-0.849661164,4.014290786,1.39319586785616e-05,0.00466442
"MSRB3",0.963542211,4.851460035,1.54215958676508e-05,0.00503722
"LOC112533512",-1.850607626,0.709743748,1.60162934540018e-05,0.00510691
"PWP1",-0.973979117,4.143182523,1.74663993723181e-05,0.005403412
"FZD4",0.967222472,4.775177091,1.77531455703693e-05,0.005403412
"EIF3M",0.712557769,6.213035161,1.9657667567786e-05,0.005850122
"RRP9",-1.111786344,3.655786701,2.15692949258275e-05,0.006098232
"BMF",1.615194664,4.0290316,2.16960000415042e-05,0.006098232
"MPP7",1.7442076,1.552354747,2.18574615889128e-05,0.006098232
"LOC112532231",-1.991989191,0.10355706,2.27039957293908e-05,0.006205141
"CHCHD5",-0.922863112,3.707806928,2.33799663563596e-05,0.00626209
"ACMSD",-0.735747283,5.43542158,2.38921979505613e-05,0.00627381
"DHX37",-0.935457154,5.860462775,2.56304868440131e-05,0.006583542
"YARS",-0.88932962,5.367188665,2.60549363967328e-05,0.006583542
"LOC418414",1.212119637,3.599191208,2.92769701223856e-05,0.007260689
"JUN",-0.993440757,4.73191309,3.20333788784832e-05,0.007695841
"CCDC92",-1.491955113,2.807668487,3.27191010278125e-05,0.007695841
"TMEM86A",1.711785758,7.118805932,3.27555975529244e-05,0.007695841
"LOC107052932",1.549637948,0.258768694,3.39793611901919e-05,0.007845717
"PCMTD1",0.979454148,5.636162791,3.5313831280837e-05,0.008015641
"LOC101747680",-1.848681197,7.773055338,3.59333999818344e-05,0.008020335
"CS",-1.367451936,5.596652753,3.71177648960916e-05,0.008099836
"TMEM150A",-2.155775558,3.326567296,3.78344315328669e-05,0.008099836
"IRS4",1.097126625,5.080596505,3.9221477450762e-05,0.008099836
"PDCD4",1.026030806,5.361117564,3.92644681866388e-05,0.008099836
"ESR2",1.241390674,3.585991083,4.00987209449061e-05,0.008099836
