genes	rank
HPS5|HPS5	-12.4845581317221
ANXA13|ANXA13	-11.5054155904122
LOC112532180|LOC112532180	-8.10305818493767
SPATA1|SPATA1	8.07339838883796
FRMPD2|FRMPD2	7.52410413118958
SGK1|SGK1	-6.91840236061178
RN7SL1|RN7SL1	-6.61920504995734
INTS5|INTS5	-6.55271182926206
PRSS35|PRSS35	-6.40284806495116
TIMM8A|TIMM8A	-6.35338013671407
FPGS|FPGS	6.28199018989937
GM2A|GM2A	-6.14542553898924
SEMA6D|SEMA6D	6.02475704804246
CHST4|CHST4	5.95956179643123
LOC112533599|LOC112533599	-5.8919592593958
LRP2|LRP2	5.83841298903346
LOC107054259|LOC107054259	5.77669185600569
DHRS3|DHRS3	5.72265569454953
ATIC|ATIC	5.70383791048355
TRANK1|TRANK1	5.63954601725312
UGT2A1|UGT2A1	5.62334213777835
C2H8ORF22|C2H8ORF22	5.58117501931034
EGFR|EGFR	5.57570910454972
MED13|MED13	5.48813089095442
DAP3|DAP3	-5.44450193510415
PPARA|PPARA	5.42182971501169
MBTD1|MBTD1	5.41347513134324
PRPS2|PRPS2	5.31320421213749
H6PD|H6PD	5.31179017683932
LOC100857421|LOC100857421	-5.2427611945384
SHH|SHH	5.16615758702671
PDHA1|PDHA1	-5.08097604119357
PYCRL|PYCRL	-5.04616689762844
LOC101748329|LOC101748329	-5.01698906133899
TULP3|TULP3	-4.96099307736812
LOC423693|LOC423693	-4.95483562295812
TINAG|TINAG	4.94735974211423
DDX24|DDX24	-4.9057291829102
SIGMAR1|SIGMAR1	-4.89245574742635
SUPV3L1|SUPV3L1	-4.85598782230591
MSRB3|MSRB3	4.81187068201446
LOC112533512|LOC112533512	-4.79543798255419
PWP1|PWP1	-4.7577966138437
FZD4|FZD4	4.75072468583024
EIF3M|EIF3M	4.70646801359101
RRP9|RRP9	-4.66616405122695
BMF|BMF	4.66362032698223
MPP7|MPP7	4.66040027614386
LOC112532231|LOC112532231	-4.64389770357715
CHCHD5|CHCHD5	-4.63115611812105
ACMSD|ACMSD	-4.621743895713
DHX37|DHX37	-4.59124314443377
YARS|YARS	-4.58410998266155
LOC418414|LOC418414	4.53347387048303
JUN|JUN	-4.49439724956954
CCDC92|CCDC92	-4.48519863727528
TMEM86A|TMEM86A	4.48471447342421
LOC107052932|LOC107052932	4.46878479009859
PCMTD1|PCMTD1	4.45205516224822
LOC101747680|LOC101747680	-4.44450168834809
CS|CS	-4.43041818338311
TMEM150A|TMEM150A	-4.42211278697707
IRS4|IRS4	4.40647605073382
PDCD4|PDCD4	4.40600028042667
ESR2|ESR2	4.39686948013365
MARS|MARS	-4.39244374120576
LOC112532220|LOC112532220	-4.39229440210871
ERR2984230.28010	-4.37773648072166
ERR2984230.28011	-4.35858245878385
ITPA|ITPA	-4.34289578493612
KLHDC4|KLHDC4	-4.33736190385254
RASD1|RASD1	-4.33348661922943
CLCN5|CLCN5	4.33310954802312
GPRC5B|GPRC5B	4.33188230361818
SNX11|SNX11	-4.3256743097171
CIDEA|CIDEA	4.3255847437768
PFKFB4|PFKFB4	-4.31314618892445
HYPK|HYPK	-4.30595489180288
LOC107049632|LOC107049632	-4.30506821711297
ELF1|ELF1	4.29888532956807
PAPLN|PAPLN	4.29170674361396
UFM1|UFM1	-4.28877456111486
LOC112532054|LOC112532054	4.28649950236775
GRHPR|GRHPR	-4.2832425880257
LOC100857820|LOC100857820	-4.27579153042559
AIMP2|AIMP2	-4.27424635392325
LOC429348|LOC429348	-4.26745221463231
LOC112532892|LOC112532892	-4.24746150413755
EIF3E|EIF3E	4.24270333643622
LOC101749752|LOC101749752	4.21292989947449
ZNF217L|ZNF217L	4.20143253681256
SRP19|SRP19	-4.18498240602101
BARL|BARL	4.15735441324117
CDC42SE1|CDC42SE1	-4.15583810980064
E2F1|E2F1	-4.11524447018296
KCNB2|KCNB2	4.10513881519903
CREBRF|CREBRF	4.10469298225309
PIGS|PIGS	-4.09367043630778
NOP2|NOP2	-4.08723750645424
LOC112530170|LOC112530170	-4.08327332679874
SRP14|SRP14	-4.0827965886624
ERR2984230.28015	-4.07688626369797
