gene_id	rank
2KTGRL	-3.24427712080184
A1CF	-3.98904915643822
A2M	-4.80524251544619
A2ML1	-1.8750612633917
A2ML2	-4.53305993328411
A2ML3	-4.26646689544024
A2ML4	-4.65980214715672
A4GALT	-1.49136169383427
AAAS	-2.76192783842053
AACS	-3.67559505638675
AADAC	-3.95607233699518
AADAT	-2.86451108105839
AAGAB	-2.94398887507377
AAK1	-3.07773117965239
AAMDC	-2.24551266781415
AAMP	-3.19451434188247
AANAT	-0.698970004336019
AAR2	-2.57287160220048
AAREL	-2.54406804435028
AARS	-3.82846654735268
AARS2	-2.72672720902657
AARSD1	-2.97909290063833
AASDHPPT	-2.06445798922692
AASS	-3.70475090429067
AATF	-2.52762990087134
AATK	-1.94448267215017
ABAT	-3.9417598138147
ABCA1	-3.16820274684263
ABCA12	-1.57978359661681
ABCA13	-1.04139268515823
ABCA2	-3.07188200730613
ABCA3	-3.4519398693651
ABCA5	-2.67942789661212
ABCA7	-1.27875360095283
ABCA8	-3.60659630917928
ABCA9	-3.00603795499732
ABCB1	-3.81782969974561
ABCB10	-2.81557774832427
ABCB11	-3.9057419273916
ABCB1LA	-3.33000770087276
ABCB5	-1.11394335230684
ABCB6	-2.22788670461367
ABCB7	-3.13129779659762
ABCB8	-2.66558099101795
ABCB9	-2.61489721603313
ABCC1	-2.40823996531185
ABCC10	-2.58883172559421
ABCC13	-2.98587535730839
ABCC2	-3.72843495097425
ABCC3	-2.57634135020579
ABCC4	-2.66931688056611
ABCC5	-3.66651798055488
ABCC6	-3.59406090127042
ABCC8	-2.41161970596323
ABCC9	-1.94939000664491
ABCD2	-3.16076856186113
ABCD3	-4.14006786905229
ABCD4	-3.32407657973949
ABCE1	-3.42160392686983
ABCF2	-3.07845681805329
ABCF3	-3.31196566036837
ABCG1	-2.11727129565576
ABCG2	-3.50542132758328
ABCG4	-1.6232492903979
ABCG5	-2.91009054559407
ABCG8	-3.03502928220237
ABHD1	-2.46834733041216
ABHD10	-2.79309160017658
ABHD11	-2.1846914308176
ABHD12	-3.03140846425162
ABHD12B	-2.35602585719312
ABHD13	-3.03941411917614
ABHD14A	-1.81291335664286
ABHD17A	-2.4814426285023
ABHD17B	-2.47275644931721
ABHD17C	-2.72345567203519
ABHD18	-3.04999285692014
ABHD2	-4.29442213311298
ABHD3	-2.40312052117582
ABHD5	-3.8178957571618
ABHD6	-3.61961500574281
ABI1	-3.28869626059026
ABI2	-2.79028516403324
ABI3	-2.6954816764902
ABI3BP	-1.44715803134222
ABL1	-3.01870049866624
ABL2	-3.4029488293444
ABLIM1	-2.78816837114117
ABLIM2	-1.41497334797082
ABLIM3	-1.43136376415899
ABR	-2.63948648926859
ABRA	-0.778151250383644
ABRACL	-2.53402610605613
ABTB1	-3.06483221973857
ABTB2	-2.3541084391474
ACAA1	-3.70910028155117
ACAA2	-3.61288976928748
ACACA	-4.55238832837722
ACACB	-1.11394335230684
ACAD11	-3.57356777303922
ACAD6L	-3.44700289846616
ACAD8	-2.86391737695786
ACAD9	-4.04229980741363
ACADL	-4.25536900426644
ACADS	-3.44932409309873
ACADSB	-3.32572085801941
ACAP1L	-1.94939000664491
ACAP2	-2.37106786227174
ACAP3	-2.02118929906994
ACAT1	-4.1609484808647
ACAT2	-3.68042617085815
ACBD3	-2.96425963019685
ACBD4	-2.89209460269048
ACBD5	-3.62013605497376
ACBD7	-1.73239375982297
ACCS	-2.31386722036915
ACCSL	-1.44715803134222
ACD	-2.79169064902012
ACE	-0.954242509439325
ACE2	-2.3747483460101
ACER2	-1.94939000664491
ACER3	-2.90902085421116
ACHE	-0.845098040014257
ACHRB	-4.29210093848042
ACKR1	-1.36172783601759
ACKR3	-1.96378782734556
ACKR4	-2.28555730900777
ACLY	-4.30552333321126
ACMSD	-3.31827208021163
ACO1	-4.32172267434601
ACO2	-3.73527944806046
ACOD1	-1.91381385238372
ACOT11	-3.13513265137677
ACOT13	-3.24846371755103
ACOT1L	-3.23854788768133
ACOT2L	-2.67486114073781
ACOT4	-2.89042101880091
ACOT7	-1.81291335664286
ACOT8	-3.13924921757161
ACOT9	-2.40654018043396
ACOX1	-3.93166123968448
ACOX2	-3.66707920546422
ACOX3	-2.80821097292422
ACP1	-3.1300119496719
ACP2	-3.45636603312904
ACP5	-2.57287160220048
ACP6	-2.80685802951882
ACPP	-1.11394335230684
ACR	-0.698970004336019
ACSBG1	-1.39794000867204
ACSBG2	-4.57220920464439
ACSF2	-3.41262852054438
ACSF3	-2.40140054078154
ACSL1	-3.81184300617648
ACSL3	-2.95375969173323
ACSL4	-2.70757017609794
ACSL5	-4.26016682683436
ACSL6	-0.903089986991944
ACSM3	-3.28824922557199
ACSM4L	-1.75587485567249
ACSM5	-3.9649663748311
ACSS1	-2.04921802267018
ACSS1L	-2.79098847508882
ACSS2	-3.13576851456782
ACSS3	-3.14332712999205
ACTA1	-1.04139268515823
ACTA2	-3.21563756343506
ACTB	-4.53677301183036
ACTBL2L	-1.11394335230684
ACTC2L	-4.41672369754673
ACTG1	-3.12123145514962
ACTG2	-1.9731278535997
ACTL6A	-2.76042248342321
ACTN1	-2.95279244304409
ACTN2	-2.17026171539496
ACTN4	-3.40243334621931
ACTR10	-2.75891189239797
ACTR10L	-2.30319605742049
ACTR1A	-3.12580645813953
ACTR2	-3.16554107672237
ACTR3	-3.38327665040765
ACTR3B	-2.77232170672292
ACTR5	-2.35218251811136
ACTR6	-2.84385542262316
ACTR8	-2.81023251799508
ACVR1	-2.98000337158375
ACVR1B	-2.80482067872116
ACVR1C	-0.954242509439325
ACVR2A	-3.05918461763137
ACVR2B	-1.34242268082221
ACVRL1	-2.39619934709574
ACY1	-3.47217114669236
ACYP1	-1.8750612633917
ACYP2	-2.59879050676312
ADA	-3.15956719323362
ADAL	-2.54900326202579
ADAM10	-3.37088301677761
ADAM12	-1.82607480270083
ADAM17	-3.14332712999205
ADAM19	-0.845098040014257
ADAM20	-0.954242509439325
ADAM22	-1.39794000867204
ADAM23	-2.38381536598043
ADAM28	-2.28103336724773
ADAM33	-1.99122607569249
ADAM5P	-0.602059991327962
ADAM8	-1.74036268949424
ADAM9	-3.07077646284343
ADAM9L	-1.25527250510331
ADAMTS1	-2.60314437262018
ADAMTS12	-1.79934054945358
ADAMTS13	-2.91275330367132
ADAMTS14	-1
ADAMTS15	-2.11727129565576
ADAMTS17	-2.60852603357719
ADAMTS18	-1.20411998265592
ADAMTS19	-0.778151250383644
ADAMTS2	-2.29003461136252
ADAMTS3	-2.74507479158206
ADAMTS5	-2.6730209071289
ADAMTS6	-1.34242268082221
ADAMTS7	-2.16435285578444
ADAMTS8	-1.79934054945358
ADAMTS9	-2.8055008581584
ADAMTSL1	-0.903089986991944
ADAMTSL2	-2.76117581315573
ADAMTSL2L	-1.94448267215017
ADAMTSL3	-1.50514997831991
ADAMTSL5	-1
