gene_id,ERR2984226,ERR2984227,ERR2984230,ERR2984246,ERR2984239,ERR2984238,ERR2984244,ERR2984249
RABL2L|RABL2L,19,74,76,79,114,86,52,88
NME6|NME6,55,279,145,197,336,242,136,179
ARSA|ARSA,136,333,270,415,890,684,324,477
GOLGB1|GOLGB1,836,1779,1500,4271,4883,5392,2263,3626
HCLS1|HCLS1,303,858,778,1579,1814,1108,630,758
LOC112532876|LOC112532876,5,65,39,55,61,49,18,95
MIR6708|MIR6708,0,0,0,0,0,2,0,0
MIR6708,0,0,0,0,0,1,0,0
MIR1604|MIR1604,0,0,0,0,0,0,0,0
MIR1604,0,0,0,0,0,0,0,0
SHANK3|SHANK3,84,152,104,219,93,112,105,150
LOC112532875|LOC112532875,9,73,52,68,11,25,18,38
LOC107049475|LOC107049475,151,298,189,588,479,536,343,456
CLC2DL5|CLC2DL5,421,1547,1402,2635,3812,2571,1393,1571
LOC112532835|LOC112532835,41,108,104,233,287,234,76,158
CLC2DL4|CLC2DL4,490,1703,987,2520,2201,2057,694,1349
CARMIL3|CARMIL3,90,457,373,386,500,448,220,319
RNF212B|RNF212B,289,1328,683,1312,2030,1655,690,1311
LOC107049418|LOC107049418,0,1,3,5,4,9,8,5
LOC101749441|LOC101749441,0,0,0,0,0,0,0,0
LOC107049791|LOC107049791,0,2,1,1,0,2,2,1
LOC112532874|LOC112532874,0,25,7,10,17,17,0,1
CLC2DL2|CLC2DL2,154,777,540,934,1246,737,350,468
LOC112531646|LOC112531646,81,8,3,20,4,12,1,2
LOC112531610|LOC112531610,215,94,48,181,85,143,24,40
LOC112532873|LOC112532873,70,366,256,461,940,559,145,266
DHRS4|DHRS4,1896,8723,5627,5474,14792,9092,3486,7047
LOC107055491|LOC107055491,22,88,56,298,112,83,22,192
LOC107053477|LOC107053477,126,124,77,167,271,484,133,199
LOC107049847|LOC107049847,30,64,12,44,123,213,79,57
LOC770705|LOC770705,2554,12654,5410,10209,8902,6530,2494,8420
LOC101747821|LOC101747821,143,126,96,334,223,761,66,193
CD69L|CD69L,367,534,239,692,792,1350,751,851
LOC107055489|LOC107055489,66,164,146,286,299,356,113,242
LOC112532969|LOC112532969,11,61,70,123,79,66,23,61
LOC112532872|LOC112532872,30,136,84,456,193,102,86,228
CLC2DL3|CLC2DL3,15,113,141,247,245,112,39,175
LOC112529922|LOC112529922,7,25,15,6,9,16,12,11
LOC112532889|LOC112532889,11,89,73,43,125,46,18,43
DPF2|DPF2,0,12,3,20,23,37,9,20
LOC107050717|LOC107050717,647,2697,1171,2684,3550,3246,1223,2612
LOC107050086|LOC107050086,71,220,189,268,323,417,210,155
LOC112532890|LOC112532890,9,38,33,23,42,26,12,20
LOC112533143|LOC112533143,100,380,199,279,381,434,124,263
LOC112532888|LOC112532888,97,231,137,315,411,284,122,329
LOC107050254|LOC107050254,434,860,471,1441,1138,939,485,1124
ARF5|ARF5,18,88,66,64,128,87,45,57
GCC1|GCC1,129,586,292,563,782,956,223,517
MIOX|MIOX,2,0,0,20,12,9,0,6
NCAPH2|NCAPH2,39,181,103,55,146,119,34,80
LMF2|LMF2,646,3111,1463,2447,4406,3481,1234,2968
SCO2|SCO2,132,951,416,541,803,739,205,342
DENND6B|DENND6B,49,215,162,221,264,286,146,235
PPP6R2|PPP6R2,711,1437,1094,1611,2364,2294,836,1981
MIR1651|MIR1651,0,0,0,1,0,0,0,0
MIR1651,0,0,0,1,0,0,0,0
SBF1|SBF1,800,1848,1187,3723,2581,3210,1464,2740
LOC112532882|LOC112532882,196,437,418,473,634,501,169,458
